Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR25680461_clean	(1, 36.095455941082)	(2, 36.647310711048064)	(3, 36.474894175956734)	(4, 36.62509739350724)	(5, 36.57662472561728)	(6, 36.610940129663724)	(7, 36.51876085691715)	(8, 36.59596208548564)	(9, 36.66875029272695)	(10, 36.72360498046926)	(11, 36.62090502324642)	(12, 36.5676565087381)	(13, 36.60840680562827)	(14, 36.59668461364727)	(15, 36.668913907574264)	(16, 36.49046814257299)	(17, 36.60014568768214)	(18, 36.57921030787648)	(19, 36.47200101722321)	(20, 36.452302409812724)	(21, 36.55220426448609)	(22, 36.58433036898048)	(23, 36.532889031938645)	(24, 36.482885749523206)	(25, 36.46713206744697)	(26, 36.49827100145249)	(27, 36.519785563745344)	(28, 36.59505018435655)	(29, 36.69697960286665)	(30, 36.740587779423656)
SRR25680462_clean	(1, 36.51568561323643)	(2, 36.6665856903527)	(3, 36.59550593174283)	(4, 36.673002412300015)	(5, 36.63216886920288)	(6, 36.58749435395254)	(7, 36.512795852398405)	(8, 36.62984893686367)	(9, 36.650344406453705)	(10, 36.706490479392144)	(11, 36.62674807780522)	(12, 36.457343025234735)	(13, 36.530851292141776)	(14, 36.49234451620135)	(15, 36.65897912431927)	(16, 36.506201853339434)	(17, 36.37241740362079)	(18, 36.52418232520471)	(19, 36.31152709104757)	(20, 36.33528713773283)	(21, 36.23061220805164)	(22, 36.503955291500375)	(23, 36.47294247153178)	(24, 36.305633889996166)	(25, 36.18234637975307)	(26, 36.184623772364475)	(27, 36.1090647570221)	(28, 36.073630313218295)	(29, 36.2815449150893)	(30, 36.68733265575992)
SRR25680463_clean	(1, 36.42954644019962)	(2, 36.62413764086764)	(3, 36.53967790587032)	(4, 36.52140281832364)	(5, 36.45295393199516)	(6, 36.58616988911832)	(7, 36.562139699266616)	(8, 36.492508851762906)	(9, 36.62205788114364)	(10, 36.53155240826208)	(11, 36.5324236677045)	(12, 36.47440141369288)	(13, 36.53370854882872)	(14, 36.581052372660835)	(15, 36.56660603667575)	(16, 36.4611635241593)	(17, 36.441322129874386)	(18, 36.52719168046733)	(19, 36.556951306073586)	(20, 36.47170292739398)	(21, 36.54823799856288)	(22, 36.426696024482155)	(23, 36.42658945564029)	(24, 36.40958950295711)	(25, 36.22180505415162)	(26, 36.30151171125193)	(27, 36.41790601059572)	(28, 36.54881228075763)	(29, 36.52462841779536)	(30, 36.42460941387203)
SRR25680465_clean	(1, 36.54356597011841)	(2, 36.61703243110618)	(3, 36.443469505017504)	(4, 36.54935633644647)	(5, 36.456895219397154)	(6, 36.563404052786744)	(7, 36.52371804635469)	(8, 36.5200956286078)	(9, 36.59836901736886)	(10, 36.62058193528272)	(11, 36.46576987448354)	(12, 36.45105497660839)	(13, 36.61395216825052)	(14, 36.59383562731503)	(15, 36.559946249726295)	(16, 36.4859616177756)	(17, 36.57860242522578)	(18, 36.60644023164788)	(19, 36.568595707771976)	(20, 36.480546720161314)	(21, 36.59074119369399)	(22, 36.529942168852685)	(23, 36.53153373562277)	(24, 36.544159994128655)	(25, 36.50716564411011)	(26, 36.509255741838174)	(27, 36.50231421531982)	(28, 36.60917967961734)	(29, 36.7137418492139)	(30, 36.76655696803121)
SRR25680466_clean	(1, 36.370325764351286)	(2, 36.57556989196535)	(3, 36.232546311784986)	(4, 36.51209132362011)	(5, 36.49278705861542)	(6, 36.539539554597226)	(7, 36.491838611233874)	(8, 36.54802435992178)	(9, 36.55474860622411)	(10, 36.61438654343388)	(11, 36.54824904731593)	(12, 36.5127071194105)	(13, 36.547240429411886)	(14, 36.53754726289815)	(15, 36.57700732004872)	(16, 36.48905087507229)	(17, 36.535851082146635)	(18, 36.57236133956332)	(19, 36.536523861841346)	(20, 36.50948696604566)	(21, 36.58031623677573)	(22, 36.544389180887286)	(23, 36.522660635197234)	(24, 36.55253187624251)	(25, 36.50188067851471)	(26, 36.52512200158239)	(27, 36.42406807639205)	(28, 36.56822395722086)	(29, 36.68084796531067)	(30, 36.7622229771182)
SRR25680467_clean	(1, 36.398084865476896)	(2, 36.70120864110997)	(3, 36.519954170485796)	(4, 36.692940996747005)	(5, 36.603501374885425)	(6, 36.62571035747021)	(7, 36.67889218382128)	(8, 36.65403048112004)	(9, 36.692252835139556)	(10, 36.69468305745763)	(11, 36.68653708596179)	(12, 36.58611815028486)	(13, 36.677356266062795)	(14, 36.63636239463705)	(15, 36.648636796606816)	(16, 36.66067549896035)	(17, 36.73096793923486)	(18, 36.704004985956274)	(19, 36.72631663603773)	(20, 36.71072068458567)	(21, 36.78124003667166)	(22, 36.727422934785864)	(23, 36.705791957193604)	(24, 36.75079248330991)	(25, 36.691960502586674)	(26, 36.664544532899605)	(27, 36.6584167948316)	(28, 36.75690062527049)	(29, 36.80153001258542)	(30, 36.79275864069783)
SRR25680468_clean	(1, 36.35168511542615)	(2, 36.60400457537305)	(3, 36.52080035309568)	(4, 36.60533560084625)	(5, 36.45258108275183)	(6, 36.585553942628)	(7, 36.597706953062655)	(8, 36.53912108225037)	(9, 36.60966543233039)	(10, 36.64623296879633)	(11, 36.56816761151175)	(12, 36.49528132232777)	(13, 36.56541305018818)	(14, 36.595355287400345)	(15, 36.589846597044684)	(16, 36.53985173859501)	(17, 36.58718715833782)	(18, 36.636861767290455)	(19, 36.572086108094005)	(20, 36.500296125775236)	(21, 36.59551360802212)	(22, 36.493919490230844)	(23, 36.49332769163016)	(24, 36.4051064179799)	(25, 36.39926763558984)	(26, 36.44166722948526)	(27, 36.48816820580223)	(28, 36.705151964418086)	(29, 36.71644069813042)	(30, 36.63393481584412)
SRR25680469_clean	(1, 36.29374075957453)	(2, 36.61554215399098)	(3, 36.57444847425288)	(4, 36.63783298101694)	(5, 36.531590046606624)	(6, 36.60453004635447)	(7, 36.61309927757629)	(8, 36.532550924778)	(9, 36.587094545469824)	(10, 36.61773018588017)	(11, 36.56828463242123)	(12, 36.517541658086394)	(13, 36.51533463053007)	(14, 36.634081252705414)	(15, 36.57696716523289)	(16, 36.472185444381395)	(17, 36.57531481156373)	(18, 36.59653085220231)	(19, 36.51221155084761)	(20, 36.53841185294657)	(21, 36.639713254168754)	(22, 36.479780715984624)	(23, 36.5234173533101)	(24, 36.415533312194526)	(25, 36.281282189422896)	(26, 36.2764088259647)	(27, 36.4661325523242)	(28, 36.66612746261668)	(29, 36.56459055343672)	(30, 36.525421979042996)
SRR25680470_clean	(1, 36.475670446557686)	(2, 36.58174592006078)	(3, 36.444409744992534)	(4, 36.544300147101026)	(5, 36.46952870133777)	(6, 36.51895052220172)	(7, 36.55348044360457)	(8, 36.48597982317375)	(9, 36.54899913070363)	(10, 36.57372572521084)	(11, 36.46829113248382)	(12, 36.483206081469845)	(13, 36.5694288085094)	(14, 36.56242764528826)	(15, 36.56396641770869)	(16, 36.506468366104976)	(17, 36.5653642520893)	(18, 36.604156316925426)	(19, 36.53975500889848)	(20, 36.49906226153499)	(21, 36.589207900233205)	(22, 36.51853836632271)	(23, 36.54772077569742)	(24, 36.546365905636385)	(25, 36.47768691283105)	(26, 36.48709698002246)	(27, 36.46190146800469)	(28, 36.55780872045378)	(29, 36.674942373470515)	(30, 36.74813321628681)
SRR25680471_clean	(1, 36.693906199958704)	(2, 36.76507761937973)	(3, 36.729131409146554)	(4, 36.72268995166773)	(5, 36.71291152740048)	(6, 36.71477214903831)	(7, 36.70445968002835)	(8, 36.69650611184539)	(9, 36.69378061409456)	(10, 36.75290554479879)	(11, 36.68106108268833)	(12, 36.640301357302754)	(13, 36.639466963195616)	(14, 36.64832036019164)	(15, 36.66671828286326)	(16, 36.631930554761695)	(17, 36.65772131650617)	(18, 36.68665584975668)	(19, 36.671212825021165)	(20, 36.64900593072399)	(21, 36.65514170976283)	(22, 36.605038426075396)	(23, 36.632266205542834)	(24, 36.500483888002705)	(25, 36.38105578788564)	(26, 36.435024660521236)	(27, 36.42159179437192)	(28, 36.5058767182602)	(29, 36.602644912775176)	(30, 36.70599097294669)
