Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
SRR25680461_clean	(24.0, 1.0)	(25.0, 8.0)	(26.0, 67.0)	(27.0, 478.0)	(28.0, 2340.0)	(29.0, 9793.0)	(30.0, 19557.0)	(31.0, 32026.0)	(32.0, 40490.0)	(33.0, 55872.0)	(34.0, 100078.0)	(35.0, 398469.0)	(36.0, 997857.0)	(37.0, 3146929.0)	
SRR25680462_clean	(25.0, 13.0)	(26.0, 96.0)	(27.0, 555.0)	(28.0, 2663.0)	(29.0, 11392.0)	(30.0, 22528.0)	(31.0, 37030.0)	(32.0, 47217.0)	(33.0, 64118.0)	(34.0, 118945.0)	(35.0, 514761.0)	(36.0, 1036622.0)	(37.0, 3264899.0)		
SRR25680463_clean	(24.0, 1.0)	(25.0, 5.0)	(26.0, 44.0)	(27.0, 185.0)	(28.0, 902.0)	(29.0, 3597.0)	(30.0, 7775.0)	(31.0, 12675.0)	(32.0, 16739.0)	(33.0, 24911.0)	(34.0, 43411.0)	(35.0, 113309.0)	(36.0, 312325.0)	(37.0, 1009011.0)	
SRR25680465_clean	(25.0, 7.0)	(26.0, 38.0)	(27.0, 392.0)	(28.0, 2007.0)	(29.0, 9565.0)	(30.0, 19162.0)	(31.0, 31727.0)	(32.0, 40252.0)	(33.0, 53586.0)	(34.0, 89616.0)	(35.0, 280627.0)	(36.0, 1159476.0)	(37.0, 2784592.0)		
SRR25680466_clean	(25.0, 11.0)	(26.0, 91.0)	(27.0, 615.0)	(28.0, 3117.0)	(29.0, 14025.0)	(30.0, 27943.0)	(31.0, 45915.0)	(32.0, 59190.0)	(33.0, 76761.0)	(34.0, 119326.0)	(35.0, 366948.0)	(36.0, 1080698.0)	(37.0, 3457101.0)		
SRR25680467_clean	(24.0, 1.0)	(25.0, 4.0)	(26.0, 48.0)	(27.0, 394.0)	(28.0, 2187.0)	(29.0, 8666.0)	(30.0, 19012.0)	(31.0, 30689.0)	(32.0, 39175.0)	(33.0, 54997.0)	(34.0, 85184.0)	(35.0, 306509.0)	(36.0, 886339.0)	(37.0, 4130895.0)	
SRR25680468_clean	(24.0, 1.0)	(25.0, 3.0)	(26.0, 39.0)	(27.0, 405.0)	(28.0, 2176.0)	(29.0, 9013.0)	(30.0, 19656.0)	(31.0, 32420.0)	(32.0, 43419.0)	(33.0, 63535.0)	(34.0, 106891.0)	(35.0, 337949.0)	(36.0, 903012.0)	(37.0, 3107989.0)	
SRR25680469_clean	(24.0, 1.0)	(25.0, 10.0)	(26.0, 51.0)	(27.0, 449.0)	(28.0, 2338.0)	(29.0, 10053.0)	(30.0, 23428.0)	(31.0, 38987.0)	(32.0, 51492.0)	(33.0, 78346.0)	(34.0, 129766.0)	(35.0, 465234.0)	(36.0, 1332179.0)	(37.0, 3816391.0)	
SRR25680470_clean	(24.0, 2.0)	(25.0, 7.0)	(26.0, 59.0)	(27.0, 598.0)	(28.0, 3045.0)	(29.0, 13320.0)	(30.0, 27791.0)	(31.0, 45314.0)	(32.0, 57848.0)	(33.0, 78851.0)	(34.0, 122256.0)	(35.0, 367336.0)	(36.0, 1410361.0)	(37.0, 3643396.0)	
SRR25680471_clean	(25.0, 1.0)	(26.0, 33.0)	(27.0, 290.0)	(28.0, 1749.0)	(29.0, 8121.0)	(30.0, 17933.0)	(31.0, 28964.0)	(32.0, 36768.0)	(33.0, 50087.0)	(34.0, 75003.0)	(35.0, 194964.0)	(36.0, 1037727.0)	(37.0, 3469296.0)		
