Sample	Unique Reads	Duplicate Reads
SRR25680461_clean	146506.0	4657459.0
SRR25680462_clean	192459.0	4928380.0
SRR25680463_clean	121030.0	1423860.0
SRR25680465_clean	123978.0	4347069.0
SRR25680466_clean	196846.0	5054895.0
SRR25680467_clean	284067.0	5280033.0
SRR25680468_clean	219504.0	4407004.0
SRR25680469_clean	1749593.0	4199132.0
SRR25680470_clean	177402.0	5592782.0
SRR25680471_clean	475956.0	4444980.0
SRR25680472_clean	142300.0	3109284.0
SRR25680473_clean	102044.0	2522438.0
SRR25680474_clean	178562.0	5226176.0
SRR25680475_clean	1006033.0	5977231.0
SRR25680476_clean	124456.0	429473.0
SRR25680477_clean	145120.0	3376201.0
SRR25680478_clean	138760.0	2370302.0
