Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR25680461_clean	(1.0, 1.6821207495940664)	(2.0, 0.670977469518115)	(3.0, 0.4525895763349696)	(4.0, 0.35569586196196457)	(5.0, 0.32480052931800185)	(6.0, 0.291916662033963)	(7.0, 0.2898790980337634)	(8.0, 0.27038132302299833)	(9.0, 0.2464920053151114)	('>10', 9.395159394339348)	('>50', 8.659651517054105)	('>100', 12.114246087755156)	('>500', 4.304927723209778)	('>1k', 8.879505866648156)	('>5k', 5.088573810893871)	('>10k+', 46.97308232496664)
SRR25680462_clean	(1.0, 2.155044200130726)	(2.0, 0.9125416102391966)	(3.0, 0.5511724056335435)	(4.0, 0.4266233482022221)	(5.0, 0.3477856527275822)	(6.0, 0.32383499885519507)	(7.0, 0.31167548398605566)	(8.0, 0.28054759891300274)	(9.0, 0.2698978083017937)	('>10', 8.525692456726054)	('>50', 9.862885504220129)	('>100', 20.24792469432439)	('>500', 4.690607315776007)	('>1k', 10.77533905757969)	('>5k', 5.066378918566737)	('>10k+', 35.25204894581769)
SRR25680463_clean	(1.0, 4.18558416789841)	(2.0, 1.971640612145575)	(3.0, 1.3149508603391684)	(4.0, 1.0485902429061387)	(5.0, 0.9448100548146275)	(6.0, 0.9094379364694322)	(7.0, 0.8119581204726908)	(8.0, 0.8488998114846824)	(9.0, 0.8223852995358591)	('>10', 23.84608315539151)	('>50', 11.671859053813556)	('>100', 15.056998650956904)	('>500', 4.09958693092946)	('>1k', 12.523368134257517)	('>5k', 4.548671820547036)	('>10k+', 15.395175148037424)
SRR25680465_clean	(1.0, 1.561853594787947)	(2.0, 0.8103514368698239)	(3.0, 0.6101511552815455)	(4.0, 0.4744848989883435)	(5.0, 0.38976979551769425)	(6.0, 0.2990361396560811)	(7.0, 0.2589439952397768)	(8.0, 0.2182796769770816)	(9.0, 0.1872871098792898)	('>10', 3.1838831224559807)	('>50', 2.306092676329916)	('>100', 11.814914256288626)	('>500', 21.138380218668146)	('>1k', 20.058524150042764)	('>5k', 5.995173454239793)	('>10k+', 30.692874318777186)
SRR25680466_clean	(1.0, 2.038971734870444)	(2.0, 0.9285727633648698)	(3.0, 0.6153154985406392)	(4.0, 0.4817216638607162)	(5.0, 0.4054630506036636)	(6.0, 0.37092791494739163)	(7.0, 0.35393108969623643)	(8.0, 0.33713962937989617)	(9.0, 0.33996175575667614)	('>10', 9.222963405307267)	('>50', 8.681357324071524)	('>100', 18.462612168489855)	('>500', 4.365956597434044)	('>1k', 10.675893992678485)	('>5k', 3.6166463695564124)	('>10k+', 39.10256504144187)
SRR25680467_clean	(1.0, 2.864811589590482)	(2.0, 1.0377707574875263)	(3.0, 0.6717937705668816)	(4.0, 0.5596855166351553)	(5.0, 0.4928932419329869)	(6.0, 0.4644870528083999)	(7.0, 0.43619145040808854)	(8.0, 0.42274732985106134)	(9.0, 0.40918251784371107)	('>10', 16.7015924270801)	('>50', 18.74947577173194)	('>100', 15.789004602299562)	('>500', 3.673074186624565)	('>1k', 8.75197239008085)	('>5k', 3.82146732525312)	('>10k+', 25.153850069805568)
SRR25680468_clean	(1.0, 2.697458632881993)	(2.0, 1.0520673595650867)	(3.0, 0.6479124854775703)	(4.0, 0.48648501099659613)	(5.0, 0.4236233409640585)	(6.0, 0.3963509789059091)	(7.0, 0.3759803667546418)	(8.0, 0.3627284477426768)	(9.0, 0.3579046840799017)	('>10', 11.680046867479998)	('>50', 17.310055820883914)	('>100', 26.097102423422847)	('>500', 6.2231412956920575)	('>1k', 9.918184497810039)	('>5k', 3.715352095724985)	('>10k+', 18.25560569161771)
SRR25680469_clean	(1.0, 22.405200397199778)	(2.0, 8.456365450814776)	(3.0, 3.743397122953888)	(4.0, 1.9792007228772142)	(5.0, 1.2110564592102115)	(6.0, 0.8811268473840969)	(7.0, 0.6671606794792885)	(8.0, 0.5561424777534025)	(9.0, 0.4772342810994557)	('>10', 6.473619084787215)	('>50', 2.8066948959001157)	('>100', 7.679478415149381)	('>500', 4.499707272491259)	('>1k', 11.454306579656958)	('>5k', 4.811076703781344)	('>10k+', 21.898232609461676)
SRR25680470_clean	(1.0, 1.7699514323605396)	(2.0, 0.8380706011685048)	(3.0, 0.5646649214851704)	(4.0, 0.42706100345008946)	(5.0, 0.3424031658737529)	(6.0, 0.28313657000701764)	(7.0, 0.24983230209832144)	(8.0, 0.2201912200139423)	(9.0, 0.1930223216141238)	('>10', 4.491860243404668)	('>50', 3.932080361502278)	('>100', 23.788889466431023)	('>500', 16.38872836211684)	('>1k', 19.14629935227012)	('>5k', 6.065141603361564)	('>10k+', 21.298667072842033)
SRR25680471_clean	(1.0, 5.556124539755602)	(2.0, 2.1560816401985856)	(3.0, 1.3906830864257165)	(4.0, 1.1299307862096228)	(5.0, 0.9647016608173397)	(6.0, 0.945748394038025)	(7.0, 0.9062272996709033)	(8.0, 0.9184723504523772)	(9.0, 0.8665527832084617)	('>10', 26.892088961988563)	('>50', 21.293998867198212)	('>100', 20.677397582157376)	('>500', 4.65399138041902)	('>1k', 5.1122309185442605)	('>5k', 1.5905333031132594)	('>10k+', 4.945236445802689)
SRR25680472_clean	(1.0, 2.6384056111215606)	(2.0, 1.0558595002387767)	(3.0, 0.69424271987077)	(4.0, 0.5332190187492476)	(5.0, 0.4388463714622548)	(6.0, 0.39481505189977023)	(7.0, 0.3500869491213668)	(8.0, 0.3266393270857516)	(9.0, 0.30487368081158317)	('>10', 7.962641879630369)	('>50', 6.033870303605934)	('>100', 23.56144173616667)	('>500', 6.663293595063324)	('>1k', 9.048195342628405)	('>5k', 4.4144574900790845)	('>10k+', 35.57911142246514)
SRR25680473_clean	(1.0, 2.277454850961392)	(2.0, 1.0003624712346995)	(3.0, 0.6530130836595616)	(4.0, 0.5148910271176668)	(5.0, 0.4363160346726824)	(6.0, 0.39485648482780217)	(7.0, 0.35210132405026945)	(8.0, 0.34417523363874825)	(9.0, 0.30866025160250893)	('>10', 7.272683333221437)	('>50', 5.117244015734484)	('>100', 12.055316772496461)	('>500', 3.879630725420128)	('>1k', 8.49021465407968)	('>5k', 3.7846700652974796)	('>10k+', 53.118409671985)
