Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR25680461_clean	(15, 1176.0)	(16, 6227.0)	(17, 1782.0)	(18, 138968.0)	(19, 131726.0)	(20, 312840.0)	(21, 847274.0)	(22, 1291655.0)	(23, 481479.0)	(24, 170700.0)	(25, 161606.0)	(26, 111711.0)	(27, 100479.0)	(28, 128615.0)	(29, 204160.0)	(30, 713567.0)
SRR25680462_clean	(15, 676.0)	(16, 2929.0)	(17, 377.0)	(18, 168488.0)	(19, 180065.0)	(20, 281937.0)	(21, 1024296.0)	(22, 1083805.0)	(23, 762686.0)	(24, 259167.0)	(25, 277917.0)	(26, 197634.0)	(27, 181286.0)	(28, 216598.0)	(29, 208469.0)	(30, 274509.0)
SRR25680463_clean	(15, 6787.0)	(16, 48325.0)	(17, 23061.0)	(18, 50832.0)	(19, 44153.0)	(20, 64951.0)	(21, 176815.0)	(22, 219906.0)	(23, 121114.0)	(24, 82596.0)	(25, 91087.0)	(26, 90523.0)	(27, 85158.0)	(28, 104461.0)	(29, 134141.0)	(30, 200980.0)
SRR25680465_clean	(15, 19.0)	(16, 269.0)	(17, 1044.0)	(18, 40174.0)	(19, 75211.0)	(20, 163725.0)	(21, 264520.0)	(22, 304646.0)	(23, 215064.0)	(24, 222851.0)	(25, 340532.0)	(26, 255938.0)	(27, 282747.0)	(28, 416759.0)	(29, 534447.0)	(30, 1353101.0)
SRR25680466_clean	(15, 5203.0)	(16, 7784.0)	(17, 3645.0)	(18, 95250.0)	(19, 109958.0)	(20, 212245.0)	(21, 884986.0)	(22, 953186.0)	(23, 529305.0)	(24, 233160.0)	(25, 260487.0)	(26, 249391.0)	(27, 241754.0)	(28, 304915.0)	(29, 371548.0)	(30, 788924.0)
SRR25680467_clean	(15, 1634.0)	(16, 10072.0)	(17, 4010.0)	(18, 301167.0)	(19, 308288.0)	(20, 403547.0)	(21, 763025.0)	(22, 1375706.0)	(23, 623743.0)	(24, 354486.0)	(25, 321570.0)	(26, 286698.0)	(27, 216331.0)	(28, 209251.0)	(29, 177760.0)	(30, 206812.0)
SRR25680468_clean	(15, 1164.0)	(16, 3637.0)	(17, 1527.0)	(18, 296684.0)	(19, 321818.0)	(20, 393255.0)	(21, 482616.0)	(22, 578113.0)	(23, 383633.0)	(24, 304058.0)	(25, 305328.0)	(26, 246040.0)	(27, 197059.0)	(28, 203780.0)	(29, 254355.0)	(30, 653441.0)
SRR25680469_clean	(15, 850.0)	(16, 1143.0)	(17, 949.0)	(18, 286510.0)	(19, 305600.0)	(20, 389416.0)	(21, 492066.0)	(22, 1091130.0)	(23, 580525.0)	(24, 439512.0)	(25, 409328.0)	(26, 361275.0)	(27, 364540.0)	(28, 513749.0)	(29, 382791.0)	(30, 329341.0)
SRR25680470_clean	(15, 4122.0)	(16, 14386.0)	(17, 2740.0)	(18, 74934.0)	(19, 91422.0)	(20, 159854.0)	(21, 266824.0)	(22, 434164.0)	(23, 339477.0)	(24, 445894.0)	(25, 582501.0)	(26, 482758.0)	(27, 447702.0)	(28, 605233.0)	(29, 710921.0)	(30, 1107252.0)
SRR25680471_clean	(15, 4717.0)	(16, 25000.0)	(17, 4426.0)	(18, 17187.0)	(19, 25678.0)	(20, 41683.0)	(21, 72514.0)	(22, 129376.0)	(23, 188177.0)	(24, 260757.0)	(25, 416504.0)	(26, 566945.0)	(27, 643689.0)	(28, 754546.0)	(29, 836099.0)	(30, 933638.0)
