Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR25680461_clean	96.95031942874279	49.0	23.6002976707782	22	36.36363636363637	4.803965
SRR25680462_clean	96.24165273491124	48.0	23.15999975785218	22	36.36363636363637	5.120839
SRR25680463_clean	92.16579670079943	49.0	24.21748732919496	24	18.181818181818183	1.5448899999999999
SRR25680465_clean	97.22709699714515	50.0	26.518197639165948	28	27.27272727272727	4.4710469999999995
SRR25680466_clean	96.2517957317055	49.0	24.399859018180827	23	27.27272727272727	5.251741
SRR25680467_clean	94.89465447920841	49.0	22.878600851889793	22	36.36363636363637	5.5641
SRR25680468_clean	95.25551917572191	52.0	23.869435868261764	23	27.27272727272727	4.626507999999999
SRR25680469_clean	70.58878388737043	51.0	23.84927038987346	23	36.36363636363637	5.948725
SRR25680470_clean	96.92555587497581	50.0	26.042291718946917	26	27.27272727272727	5.7701839999999995
SRR25680471_clean	90.32794430273559	47.0	27.03719007928573	28	18.181818181818183	4.920936
SRR25680472_clean	95.62367840851824	50.0	25.78675470170846	28	27.27272727272727	3.251584
SRR25680473_clean	96.11186452812156	49.0	25.356007776010657	28	27.27272727272727	2.624482
SRR25680474_clean	96.69621209028885	50.0	23.964031188930896	23	27.27272727272727	5.404738
SRR25680475_clean	85.5936666398841	70.0	23.694388182947115	23	27.27272727272727	6.983263999999999
SRR25680476_clean	77.53227974885405	50.0	24.56896461459862	24	27.27272727272727	0.553929
SRR25680477_clean	95.87884763578587	51.0	24.93788240265514	25	27.27272727272727	3.521321
SRR25680478_clean	94.46964791349733	50.0	24.878666210719384	26	27.27272727272727	2.5090619999999997
