Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR25680461	8.625022077771739	42.85156191367969
SRR25680462	4.921451673796439	34.60312434803365
SRR25680463	3.4132126929516593	28.22642110063941
SRR25680465	3.905397152104182	32.76942588725145
SRR25680466	6.431796075053647	35.210299457219854
SRR25680467	6.87265235492832	22.779368708598145
SRR25680468	2.0795519578785324	19.678708202452857
SRR25680469	3.2415024137898563	20.49189198924474
SRR25680470	2.0301891475820377	23.180800810620344
SRR25680471	7.124092473921703	11.43486261132059
SRR25680472	8.928459068127422	32.9565585136891
SRR25680473	9.975307062150465	50.27806524619655
SRR25680474	3.7280816475321323	38.78182519356177
SRR25680475	1.1046285547327361	20.562373416574196
SRR25680476	2.0611953462976182	29.212542675938863
SRR25680477	3.4512879666825382	36.998807376160485
SRR25680478	7.984005706883929	25.00715707071656
