Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR25680461	(1, 0.0)	(2, 0.027408307081603352)	(3, 0.011329315230280154)	(4, 2.056137065386598e-05)	(5, 4.112274130773196e-05)	(6, 0.0015626641696938146)	(7, 4.112274130773196e-05)	(8, 0.001007507162039433)	(9, 8.224548261546392e-05)	(10, 0.0)	(11, 0.0008018934555007732)	(12, 0.02224740304748299)	(13, 0.0004934728956927835)	(14, 0.00429732646665799)	(15, 4.112274130773196e-05)	(16, 0.028340526438646773)	(17, 4.118558471586477e-05)	(18, 0.0)	(19, 4.2433925074418494e-05)	(20, 0.0017469804534724512)	(21, 0.0)	(22, 2.9274416033948954e-05)	(23, 0.0)	(24, 6.114039056481492e-05)	(25, 0.0)	(26, 0.0013923127320037778)	(27, 0.005300305024005253)	(28, 0.0001879882996082324)	(29, 0.0006446940604336212)	(30, 0.0)
SRR25680462	(1, 0.0)	(2, 0.045061599611587136)	(3, 0.017469323597816836)	(4, 3.856362825125129e-05)	(5, 0.0017546450854319337)	(6, 0.0009448088921556566)	(7, 3.856362825125129e-05)	(8, 0.0007327089367737746)	(9, 0.0)	(10, 5.7845442376876944e-05)	(11, 1.9281814125625646e-05)	(12, 0.0002892272118843847)	(13, 0.0019088995984369393)	(14, 0.006208744148451458)	(15, 0.00013497269887937952)	(16, 1.9284327742549595e-05)	(17, 1.9295226418869653e-05)	(18, 0.00013507641079592425)	(19, 0.0)	(20, 0.002152607894813643)	(21, 0.0)	(22, 5.675056480999627e-05)	(23, 4.0997787759372505e-05)	(24, 0.0)	(25, 0.0009994174823816976)	(26, 0.0012509940935207442)	(27, 0.006383011504827977)	(28, 0.000278289134061616)	(29, 0.0004026340318362729)	(30, 0.0)
SRR25680463	(1, 0.0)	(2, 0.10560114600200184)	(3, 0.016467656970746952)	(4, 0.0060605875096801055)	(5, 0.0)	(6, 0.0009182708348000159)	(7, 0.0)	(8, 0.0)	(9, 6.12180556533344e-05)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.00018365416696000317)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.00028753954567314085)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.00034015977304539943)	(28, 0.0)	(29, 0.00025771203257480093)	(30, 0.0)
SRR25680465	(1, 0.0)	(2, 0.023935755121705118)	(3, 0.010011484790631)	(4, 2.1859137097447597e-05)	(5, 2.1859137097447597e-05)	(6, 0.003978362951735463)	(7, 6.557741129234278e-05)	(8, 0.002251491121037102)	(9, 6.557741129234278e-05)	(10, 4.371827419489519e-05)	(11, 0.002601237314596264)	(12, 0.0172687183069836)	(13, 0.0004590418790463995)	(14, 0.003694194169468644)	(15, 2.1859137097447597e-05)	(16, 0.02168435406090899)	(17, 6.558153993325548e-05)	(18, 0.0)	(19, 2.2061920309255172e-05)	(20, 0.0015035741303562865)	(21, 0.0)	(22, 2.4845004439802292e-05)	(23, 0.0)	(24, 0.00011424328106703225)	(25, 0.0)	(26, 0.0008951056655024555)	(27, 0.003947594169099751)	(28, 8.549361448193435e-05)	(29, 0.0005233629207837883)	(30, 0.0)
SRR25680466	(1, 0.0)	(2, 0.03354321821840404)	(3, 0.006181456373397091)	(4, 0.0002970069128358962)	(5, 0.0002413181166791657)	(6, 0.00046407330130608795)	(7, 0.0005197620974628184)	(8, 0.00046407330130608795)	(9, 0.00016706638847019165)	(10, 0.0002227551846269222)	(11, 9.281466026121758e-05)	(12, 0.012400038610898669)	(13, 3.712586410448703e-05)	(14, 0.0026916251475753096)	(15, 0.0005011991654105749)	(16, 0.009457719626737809)	(17, 0.00037215789989808457)	(18, 9.310262255191309e-05)	(19, 0.0)	(20, 0.0033888202625890315)	(21, 0.0)	(22, 2.4596306962894752e-05)	(23, 3.2137868886493544e-05)	(24, 3.878950371545261e-05)	(25, 8.549873119882901e-05)	(26, 0.0012549316400122404)	(27, 0.005337368977321185)	(28, 0.0003228247423212907)	(29, 0.0026011227095895264)	(30, 0.0)
SRR25680467	(1, 0.0)	(2, 0.00621143802554589)	(3, 0.0032913869972321964)	(4, 0.0008101875685494638)	(5, 0.0)	(6, 0.0010296133683649436)	(7, 0.0005570039533777563)	(8, 0.0008270664762275777)	(9, 0.0)	(10, 0.0)	(11, 0.0007595508455151223)	(12, 0.008996457792434671)	(13, 0.0)	(14, 0.008152512408528979)	(15, 0.0)	(16, 0.009488564675627)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 7.175866127041534e-05)	(27, 9.369717821578084e-05)	(28, 0.0)	(29, 0.0)	(30, 0.0)
SRR25680468	(1, 0.0)	(2, 0.09975287044516258)	(3, 0.016618394692824275)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.011475617818574308)	(13, 0.00010625572054235471)	(14, 8.500457643388377e-05)	(15, 0.0)	(16, 0.013051430927852584)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0004889486734279213)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 7.439684616889721e-05)	(28, 0.0)	(29, 0.0)	(30, 0.0)
SRR25680469	(1, 0.0)	(2, 0.0)	(3, 0.0017679810697144678)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00847639522208899)	(9, 0.017580671571740127)	(10, 0.0)	(11, 0.0)	(12, 0.010475700917747407)	(13, 0.05079227858226424)	(14, 0.0008426825659386714)	(15, 0.0)	(16, 0.008196659002129479)	(17, 1.6528690666545895e-05)	(18, 0.0)	(19, 0.0005561525505590463)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0004928297618153762)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.00013526564820651277)	(30, 0.0)
SRR25680470	(1, 0.0)	(2, 0.045206365613919955)	(3, 0.0070895278153458524)	(4, 0.0003400253148846932)	(5, 0.0003230240491404585)	(6, 0.00037402784637316245)	(7, 0.0003400253148846932)	(8, 0.00042503164360586644)	(9, 0.0002040151889308159)	(10, 5.100379723270397e-05)	(11, 0.0)	(12, 0.0171202746044443)	(13, 5.100379723270397e-05)	(14, 0.002142159483773567)	(15, 0.000646048098280917)	(16, 0.016519805988404152)	(17, 0.0002046591682958389)	(18, 0.00017062904273523817)	(19, 5.185468657471794e-05)	(20, 0.0025466779727459795)	(21, 1.807107208080805e-05)	(22, 1.8989857327302914e-05)	(23, 4.1406881616690285e-05)	(24, 6.685838680518536e-05)	(25, 4.967998636781174e-05)	(26, 0.0008148419977714071)	(27, 0.004023091179611247)	(28, 0.00012166663827778441)	(29, 0.002114519101426975)	(30, 0.0)
SRR25680471	(1, 0.0)	(2, 0.018152222805180206)	(3, 0.0021945986334285343)	(4, 0.0072813039930807195)	(5, 0.0)	(6, 0.0007485452703167095)	(7, 0.0001190867475503856)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.012504108492790487)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0013531303686985026)	(28, 2.943114598113287e-05)	(29, 0.0)	(30, 0.0)
