Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR25680461	(1, 36.100518578329265)	(2, 36.64748290784661)	(3, 36.476122388680224)	(4, 36.62560478701607)	(5, 36.577681783591984)	(6, 36.607395842778715)	(7, 36.51941908370719)	(8, 36.596862046979034)	(9, 36.66845982380139)	(10, 36.7234462748862)	(11, 36.62124330907297)	(12, 36.564216141950766)	(13, 36.60865748848203)	(14, 36.59681228846205)	(15, 36.667313733001144)	(16, 36.48965910130916)	(17, 36.60115344348555)	(18, 36.579597905850626)	(19, 36.474900545488104)	(20, 36.45513907056272)	(21, 36.55437048276308)	(22, 36.58554540579024)	(23, 36.53690258764812)	(24, 36.48516917546069)	(25, 36.471750379536)	(26, 36.500643944638554)	(27, 36.5218851304217)	(28, 36.59525931106048)	(29, 36.69645224858543)	(30, 36.740208579889874)
SRR25680462	(1, 36.5167850120145)	(2, 36.66688872889268)	(3, 36.59576640776332)	(4, 36.6718246804907)	(5, 36.63270284372051)	(6, 36.58787339715099)	(7, 36.51521431543583)	(8, 36.6301505099847)	(9, 36.65093591997584)	(10, 36.705618566381695)	(11, 36.62669115971242)	(12, 36.455106152171304)	(13, 36.53156741481391)	(14, 36.4936788428752)	(15, 36.65786946751728)	(16, 36.50463479532964)	(17, 36.37564988734482)	(18, 36.524579854472535)	(19, 36.316615468221386)	(20, 36.339834899114095)	(21, 36.23749951088818)	(22, 36.5050107911199)	(23, 36.4788152131311)	(24, 36.31067760267502)	(25, 36.19612568674258)	(26, 36.20183538704864)	(27, 36.123627927656266)	(28, 36.084320216175)	(29, 36.26962991892964)	(30, 36.687200203755324)
SRR25680463	(1, 36.435459334376084)	(2, 36.62321694760653)	(3, 36.53723741280253)	(4, 36.52169659719438)	(5, 36.46432609633885)	(6, 36.59184514280642)	(7, 36.56733771858672)	(8, 36.504254960958185)	(9, 36.62701981322371)	(10, 36.54092702501676)	(11, 36.538011821206545)	(12, 36.464703199561676)	(13, 36.53806018347051)	(14, 36.585923520283075)	(15, 36.568753080033424)	(16, 36.464875903506325)	(17, 36.450821728607814)	(18, 36.53507801293497)	(19, 36.561264698461436)	(20, 36.48607437298808)	(21, 36.557808747384286)	(22, 36.435430006567124)	(23, 36.43931934920726)	(24, 36.39978173881411)	(25, 36.262885288670546)	(26, 36.341672061004886)	(27, 36.44128076957747)	(28, 36.57055396563775)	(29, 36.52905445455248)	(30, 36.420896838926915)
SRR25680465	(1, 36.545416510555995)	(2, 36.61772762903121)	(3, 36.446977384099576)	(4, 36.551473458854325)	(5, 36.46268295551272)	(6, 36.56662031072326)	(7, 36.529063034319286)	(8, 36.52362273227847)	(9, 36.5998031366113)	(10, 36.61786075117613)	(11, 36.46893554308807)	(12, 36.45198137776392)	(13, 36.61301436189026)	(14, 36.59019517149149)	(15, 36.55882905848762)	(16, 36.4871164989736)	(17, 36.58048166580609)	(18, 36.608457926616744)	(19, 36.57074937945334)	(20, 36.48553864645564)	(21, 36.59365553913281)	(22, 36.53116010766831)	(23, 36.53598069015898)	(24, 36.54790906234827)	(25, 36.51149317046208)	(26, 36.51091495291228)	(27, 36.506792139429024)	(28, 36.61177349663754)	(29, 36.7137414168481)	(30, 36.7662499624915)
SRR25680466	(1, 36.375405971323985)	(2, 36.57712916830639)	(3, 36.239761614826584)	(4, 36.511770383955685)	(5, 36.496142808348864)	(6, 36.54198693912101)	(7, 36.49765216035403)	(8, 36.551224596627485)	(9, 36.557153968383616)	(10, 36.615759929312354)	(11, 36.551484106417576)	(12, 36.50591043756543)	(13, 36.54808579044677)	(14, 36.53802375312785)	(15, 36.573156700847214)	(16, 36.48272721242354)	(17, 36.53785431990656)	(18, 36.5718059562589)	(19, 36.538406410668166)	(20, 36.514786197393164)	(21, 36.58193126044069)	(22, 36.54840122774926)	(23, 36.53064988555705)	(24, 36.5524090803125)	(25, 36.51334977188939)	(26, 36.53762719456171)	(27, 36.43531859366999)	(28, 36.576396475270336)	(29, 36.68654357937245)	(30, 36.76037668677549)
SRR25680467	(1, 36.41454968593416)	(2, 36.70430044185605)	(3, 36.52984089604045)	(4, 36.68988146618294)	(5, 36.612730004655205)	(6, 36.633890584844025)	(7, 36.68139728323854)	(8, 36.66214520114088)	(9, 36.69847620597263)	(10, 36.70060126044931)	(11, 36.69019828328006)	(12, 36.56594825534547)	(13, 36.67611401634621)	(14, 36.64097229934945)	(15, 36.630016031586514)	(16, 36.661450038401675)	(17, 36.728784120407646)	(18, 36.70318108391925)	(19, 36.72427765268634)	(20, 36.7158321264662)	(21, 36.78281433959517)	(22, 36.73372730881051)	(23, 36.71953926454663)	(24, 36.76344691933022)	(25, 36.718108124545665)	(26, 36.69624056373604)	(27, 36.67865147273225)	(28, 36.80197597179924)	(29, 36.84598061412076)	(30, 36.82102483650004)
SRR25680468	(1, 36.35479826395154)	(2, 36.604745720497725)	(3, 36.521676698269246)	(4, 36.605425757109195)	(5, 36.45596518552568)	(6, 36.5865517659807)	(7, 36.600270229548485)	(8, 36.541763279680566)	(9, 36.61051625616894)	(10, 36.64718893053405)	(11, 36.56996949823286)	(12, 36.491259935706786)	(13, 36.56649089845374)	(14, 36.596604832212655)	(15, 36.58975048819191)	(16, 36.54032180067234)	(17, 36.588645659870984)	(18, 36.63819597850829)	(19, 36.57378797622222)	(20, 36.503816571044894)	(21, 36.598103205112885)	(22, 36.49403188250941)	(23, 36.4974740981883)	(24, 36.4047727635919)	(25, 36.40593284578185)	(26, 36.44633772349128)	(27, 36.49258747023196)	(28, 36.705705039883014)	(29, 36.71379878662808)	(30, 36.63191056818678)
SRR25680469	(1, 36.297059649202815)	(2, 36.61586728311375)	(3, 36.57509350884924)	(4, 36.63823637444253)	(5, 36.53367995676212)	(6, 36.60530632254815)	(7, 36.61241327598466)	(8, 36.53290221032332)	(9, 36.58468968049277)	(10, 36.61762931583594)	(11, 36.568109653160114)	(12, 36.5167410457955)	(13, 36.516454533723085)	(14, 36.634573348990706)	(15, 36.57780909472595)	(16, 36.47326550598009)	(17, 36.57623329651843)	(18, 36.59547253303868)	(19, 36.51324625027178)	(20, 36.537431188816896)	(21, 36.63728806369077)	(22, 36.48162671093151)	(23, 36.525125186006996)	(24, 36.417549520292624)	(25, 36.282357185530145)	(26, 36.281436478736204)	(27, 36.46708639247142)	(28, 36.666930172532844)	(29, 36.56108867204303)	(30, 36.52569246756611)
SRR25680470	(1, 36.47626308778688)	(2, 36.581130465163135)	(3, 36.446653173328755)	(4, 36.54599819956596)	(5, 36.47326559462352)	(6, 36.521807778589114)	(7, 36.5563200080246)	(8, 36.48929132773935)	(9, 36.54750961209062)	(10, 36.57588591470635)	(11, 36.472088596996045)	(12, 36.4824163558977)	(13, 36.570093243441974)	(14, 36.561717569873075)	(15, 36.563718958876485)	(16, 36.5065530548626)	(17, 36.56745046011645)	(18, 36.60480300279814)	(19, 36.542572351979935)	(20, 36.50252964157527)	(21, 36.59145769580097)	(22, 36.5217786128251)	(23, 36.551529932517134)	(24, 36.55067798861446)	(25, 36.48301217706146)	(26, 36.49030818197401)	(27, 36.46620262469196)	(28, 36.561202374608335)	(29, 36.675458728653524)	(30, 36.74754013049205)
SRR25680471	(1, 36.69289535269071)	(2, 36.76244422487117)	(3, 36.728692999128285)	(4, 36.71215406150456)	(5, 36.71582635655117)	(6, 36.717825993166464)	(7, 36.71679249032165)	(8, 36.715500739358575)	(9, 36.70701972144589)	(10, 36.76456652083644)	(11, 36.711856684883536)	(12, 36.64531577382228)	(13, 36.64270675330738)	(14, 36.64760206925133)	(15, 36.6630835165568)	(16, 36.623221500506524)	(17, 36.66484130726876)	(18, 36.691043683007294)	(19, 36.69112401174238)	(20, 36.683188765685244)	(21, 36.66743027501014)	(22, 36.62914107160005)	(23, 36.66344756169091)	(24, 36.53841423355518)	(25, 36.46212077772428)	(26, 36.51852431255751)	(27, 36.502879830460145)	(28, 36.60026646959572)	(29, 36.69788251551722)	(30, 36.75693385151166)
SRR25680472	(1, 36.511226709840734)	(2, 36.61806195866035)	(3, 36.5567434071213)	(4, 36.31188545319461)	(5, 36.48506059858039)	(6, 36.58953053040698)	(7, 36.55888244746631)	(8, 36.53634644285849)	(9, 36.608823337229644)	(10, 36.58473606704565)	(11, 36.47652228522474)	(12, 36.50803130845984)	(13, 36.616155850158876)	(14, 36.489929479128094)	(15, 36.577983463654164)	(16, 36.37527595720805)	(17, 36.46850598986727)	(18, 36.608546017831934)	(19, 36.57796222066086)	(20, 36.500930789406304)	(21, 36.587670443917546)	(22, 36.56814400745325)	(23, 36.55700045410223)	(24, 36.54550335109799)	(25, 36.50639121063259)	(26, 36.57329588830206)	(27, 36.50075163908873)	(28, 36.61524294002449)	(29, 36.66754007377799)	(30, 36.69055116961198)
SRR25680473	(1, 36.526605357154814)	(2, 36.59903809884466)	(3, 36.406891851776905)	(4, 36.311443491562066)	(5, 36.425183523062486)	(6, 36.61731563437191)	(7, 36.5505970869922)	(8, 36.505538985305506)	(9, 36.638541963486595)	(10, 36.678678589310834)	(11, 36.52505377168072)	(12, 36.29408366434568)	(13, 36.50124617869533)	(14, 36.283097948157476)	(15, 36.57549387735667)	(16, 36.44394712165395)	(17, 36.38171823658798)	(18, 36.62935871192062)	(19, 36.49873151248122)	(20, 36.31865686854347)	(21, 36.39684167588219)	(22, 36.53951309969828)	(23, 36.456851565339896)	(24, 36.52272220047557)	(25, 36.51650514283927)	(26, 36.53270461325338)	(27, 36.45976914251353)	(28, 36.52982142637746)	(29, 36.60371995903952)	(30, 36.75848735374807)
SRR25680474	(1, 36.00970649245237)	(2, 36.61051691785045)	(3, 36.35034066611197)	(4, 36.537841297077115)	(5, 36.466212849001735)	(6, 36.58933741409467)	(7, 36.635663196220705)	(8, 36.563387722069905)	(9, 36.581353754761146)	(10, 36.67792124930915)	(11, 36.56571940213689)	(12, 36.60878674259173)	(13, 36.611074920480036)	(14, 36.555569627990295)	(15, 36.5975510659594)	(16, 36.521187471340724)	(17, 36.598991084179815)	(18, 36.654764559380894)	(19, 36.60509905911988)	(20, 36.51683365621902)	(21, 36.57507112656078)	(22, 36.56376416127434)	(23, 36.55678261225234)	(24, 36.50612682951271)	(25, 36.5425032787011)	(26, 36.587725994634404)	(27, 36.538162943021874)	(28, 36.62136920137985)	(29, 36.67899338362964)	(30, 36.75672460162666)
SRR25680475	(1, 36.62786417105229)	(2, 36.68149921695111)	(3, 36.69950713772348)	(4, 36.7442690986798)	(5, 36.71581844071257)	(6, 36.75649688877578)	(7, 36.742128599163564)	(8, 36.69111347917545)	(9, 36.739727344010475)	(10, 36.74340564776236)	(11, 36.69132560971535)	(12, 36.7092750950642)	(13, 36.707915298493404)	(14, 36.714437601702166)	(15, 36.70881642675205)	(16, 36.6738480553769)	(17, 36.677121208026385)	(18, 36.68500048441569)	(19, 36.62483434094959)	(20, 36.64632485102123)	(21, 36.67746571981066)	(22, 36.57070784394185)	(23, 36.53626976304732)	(24, 36.39494436571855)	(25, 36.32236164722381)	(26, 36.32994276548328)	(27, 36.42919839874118)	(28, 36.43258683844256)	(29, 36.44882213217467)	(30, 36.46330542553893)
SRR25680476	(1, 36.24313434895568)	(2, 36.459412107066356)	(3, 36.42427233399135)	(4, 36.25952670958761)	(5, 36.34983169629732)	(6, 36.13031236687207)	(7, 36.38506147135237)	(8, 36.38566898471766)	(9, 36.330797777551105)	(10, 36.44491878821334)	(11, 36.361480952580955)	(12, 36.204533999747994)	(13, 36.39082609817416)	(14, 36.443603259271704)	(15, 36.37597877153297)	(16, 36.38371731919509)	(17, 36.44854776210674)	(18, 36.400623298369894)	(19, 36.458381811696796)	(20, 36.47827937572553)	(21, 36.475209394901775)	(22, 36.48125887580741)	(23, 36.49397185390923)	(24, 36.53103182530307)	(25, 36.53044969910027)	(26, 36.44270723962609)	(27, 36.34835816600588)	(28, 36.60096709870389)	(29, 36.60743266710871)	(30, 36.561501131680124)
SRR25680477	(1, 36.40777619804486)	(2, 36.57779439477973)	(3, 36.34183566828291)	(4, 36.446438391533825)	(5, 36.45146345116502)	(6, 36.580234690934944)	(7, 36.59199662220315)	(8, 36.546589174060486)	(9, 36.60355289012883)	(10, 36.66518762309063)	(11, 36.53576753782976)	(12, 36.471958250341466)	(13, 36.6024885264445)	(14, 36.55434961203399)	(15, 36.60195648431929)	(16, 36.541438624144384)	(17, 36.585487367116485)	(18, 36.66143304202475)	(19, 36.609714182508334)	(20, 36.55858530803096)	(21, 36.60639800722733)	(22, 36.57505480015965)	(23, 36.55249649619984)	(24, 36.5541430746278)	(25, 36.566756809691036)	(26, 36.535035008625314)	(27, 36.53261459459213)	(28, 36.653754474531326)	(29, 36.69183737983383)	(30, 36.760805446754816)
