Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR25680461	(15, 1194.0)	(16, 6227.0)	(17, 1782.0)	(18, 141076.0)	(19, 133880.0)	(20, 313863.0)	(21, 849515.0)	(22, 1293716.0)	(23, 486656.0)	(24, 177879.0)	(25, 164888.0)	(26, 123069.0)	(27, 105848.0)	(28, 133222.0)	(29, 210758.0)	(30, 719916.0)
SRR25680462	(15, 676.0)	(16, 2929.0)	(17, 377.0)	(18, 169730.0)	(19, 181173.0)	(20, 282287.0)	(21, 1024868.0)	(22, 1085038.0)	(23, 771881.0)	(24, 266459.0)	(25, 281706.0)	(26, 210448.0)	(27, 189985.0)	(28, 221948.0)	(29, 214037.0)	(30, 282692.0)
SRR25680463	(15, 6787.0)	(16, 48338.0)	(17, 23061.0)	(18, 53206.0)	(19, 45482.0)	(20, 65518.0)	(21, 177492.0)	(22, 220924.0)	(23, 124013.0)	(24, 85213.0)	(25, 94477.0)	(26, 101035.0)	(27, 88632.0)	(28, 111297.0)	(29, 152224.0)	(30, 235806.0)
SRR25680465	(15, 19.0)	(16, 269.0)	(17, 1044.0)	(18, 40717.0)	(19, 76648.0)	(20, 165251.0)	(21, 265844.0)	(22, 307057.0)	(23, 216597.0)	(24, 246541.0)	(25, 350074.0)	(26, 270169.0)	(27, 295160.0)	(28, 428636.0)	(29, 544363.0)	(30, 1366357.0)
SRR25680466	(15, 5233.0)	(16, 7784.0)	(17, 3645.0)	(18, 95960.0)	(19, 110419.0)	(20, 212858.0)	(21, 885530.0)	(22, 954057.0)	(23, 533577.0)	(24, 238801.0)	(25, 267390.0)	(26, 273187.0)	(27, 249811.0)	(28, 318590.0)	(29, 410034.0)	(30, 820204.0)
SRR25680467	(15, 1635.0)	(16, 10072.0)	(17, 4012.0)	(18, 303602.0)	(19, 309842.0)	(20, 404709.0)	(21, 763860.0)	(22, 1378694.0)	(23, 661163.0)	(24, 360530.0)	(25, 332875.0)	(26, 326292.0)	(27, 233248.0)	(28, 251431.0)	(29, 272803.0)	(30, 309786.0)
SRR25680468	(15, 1164.0)	(16, 3637.0)	(17, 1527.0)	(18, 300068.0)	(19, 322930.0)	(20, 394935.0)	(21, 484380.0)	(22, 579507.0)	(23, 389757.0)	(24, 313533.0)	(25, 313793.0)	(26, 256255.0)	(27, 207569.0)	(28, 210065.0)	(29, 262942.0)	(30, 663567.0)
SRR25680469	(15, 855.0)	(16, 1160.0)	(17, 964.0)	(18, 295305.0)	(19, 311751.0)	(20, 397567.0)	(21, 497926.0)	(22, 1097106.0)	(23, 585742.0)	(24, 446673.0)	(25, 417997.0)	(26, 368149.0)	(27, 370972.0)	(28, 520648.0)	(29, 399595.0)	(30, 339691.0)
SRR25680470	(15, 4122.0)	(16, 14386.0)	(17, 2740.0)	(18, 75269.0)	(19, 91706.0)	(20, 159986.0)	(21, 267737.0)	(22, 435854.0)	(23, 343019.0)	(24, 461330.0)	(25, 589517.0)	(26, 503181.0)	(27, 467314.0)	(28, 621363.0)	(29, 722177.0)	(30, 1122214.0)
SRR25680471	(15, 4718.0)	(16, 25004.0)	(17, 4426.0)	(18, 17504.0)	(19, 25902.0)	(20, 41890.0)	(21, 72958.0)	(22, 131120.0)	(23, 198133.0)	(24, 264017.0)	(25, 426042.0)	(26, 601705.0)	(27, 666888.0)	(28, 821591.0)	(29, 1114897.0)	(30, 1461273.0)
