Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR25680461	96.94961663269268	49.0	23.62326778162755	22	36.36363636363637	4.8634889999999995
SRR25680462	96.24606876402304	48.0	23.194902698181377	22	36.36363636363637	5.186234
SRR25680463	92.44379576498218	49.0	24.40851910462472	24	27.27272727272727	1.633505
SRR25680465	97.25414396484307	50.0	26.510297402303866	28	27.27272727272727	4.574746
SRR25680466	96.31411146591012	50.0	24.48198634510718	23	27.27272727272727	5.38708
SRR25680467	95.1502207237255	50.0	23.171329014808542	22	36.36363636363637	5.924554
SRR25680468	95.28462242871018	52.0	23.90190726893259	23	27.27272727272727	4.705629
SRR25680469	70.85395064925385	51.0	23.862463630398764	23	36.36363636363637	6.0521009999999995
SRR25680470	96.95684419397612	50.0	26.05512150379596	26	27.27272727272727	5.881914999999999
SRR25680471	91.8538796577276	47.0	27.386110198112714	28	27.27272727272727	5.878068
SRR25680472	95.65571945361225	50.0	25.83105271882888	28	27.27272727272727	3.305688
SRR25680473	96.15708692502868	49.0	25.436871191250113	29	27.27272727272727	2.688218
SRR25680474	96.70008624017773	50.0	23.98021128108777	23	27.27272727272727	5.448003
SRR25680475	85.56470879557368	70.0	23.69674631277454	23	27.27272727272727	7.033404999999999
SRR25680476	81.02248471207471	50.0	24.937571626575785	25	27.27272727272727	0.666652
SRR25680477	95.90597099948893	51.0	24.981773365702956	25	27.27272727272727	3.578664
SRR25680478	94.51187619476028	50.0	24.928748427791025	26	27.27272727272727	2.556912
