.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR25680444	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680445	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680446	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680447	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680448	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680449	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680450	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680451	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680452	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680453	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680454	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680455	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680456	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680457	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680458	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680459	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680460	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
