Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR25680444	(1, 0.0)	(2, 0.13738733906625758)	(3, 0.0)	(4, 0.005763480791322987)	(5, 0.0009459520080513193)	(6, 0.0005656207883193455)	(7, 0.0)	(8, 0.0)	(9, 1.9504165114460192e-05)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 4.876041278615048e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 1.0288691421464e-05)	(30, 0.0)	(31, 5.23548916117621e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)
SRR25680445	(1, 0.0)	(2, 0.16381868632426497)	(3, 0.0)	(4, 0.0)	(5, 0.005352099559099062)	(6, 0.00012559078387777584)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)
SRR25680446	(1, 0.0)	(2, 0.11367607149938254)	(3, 0.00411618267797258)	(4, 0.0)	(5, 0.0031739239926535565)	(6, 0.0011108733974287447)	(7, 0.0)	(8, 0.0006050292610995842)	(9, 0.0)	(10, 0.0)	(11, 0.0005058441363291605)	(12, 0.013261051181805638)	(13, 0.0)	(14, 9.918512477042364e-05)	(15, 0.0)	(16, 0.01590929401317595)	(17, 0.0)	(18, 9.918512477042364e-06)	(19, 0.0)	(20, 9.964913539427675e-06)	(21, 1.0022076630401448e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.000518279725933681)	(37, 0.0)	(38, 0.0)	(39, 0.0)
SRR25680447	(1, 0.0)	(2, 0.023058649249524468)	(3, 0.0)	(4, 0.031092552202789538)	(5, 0.0037620464595158097)	(6, 0.0054438335839411016)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 7.031862541151046e-05)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 5.9718994659390025e-06)	(22, 0.0)	(23, 0.0)	(24, 0.00022812421351094632)	(25, 0.00085517446860512)	(26, 0.0)	(27, 0.0)	(28, 0.00020577256905743006)	(29, 0.0005751332871392946)	(30, 3.1496525271835486e-05)	(31, 8.596181417515606e-05)	(32, 1.320217761998535e-05)	(33, 0.0004259778321136168)	(34, 0.00031925626061527065)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)
SRR25680448	(1, 0.0)	(2, 0.12940216386870595)	(3, 0.0)	(4, 0.01099773276711767)	(5, 0.0011712948187410901)	(6, 0.0010261786465076807)	(7, 0.0)	(8, 0.0)	(9, 4.1461763495259834e-05)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 7.255808611670472e-05)	(16, 0.0)	(17, 0.0)	(18, 1.0365440873814959e-05)	(19, 0.0)	(20, 1.0534758011867826e-05)	(21, 0.0)	(22, 0.0)	(23, 1.1141282943241736e-05)	(24, 0.0)	(25, 1.1491992781649494e-05)	(26, 0.0)	(27, 1.1802536483115587e-05)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.00011527621140888665)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)
SRR25680449	(1, 0.0)	(2, 0.1410697043983354)	(3, 0.0)	(4, 0.005219118552277914)	(5, 0.001054057276244363)	(6, 0.0004502768947063299)	(7, 3.070069736634067e-05)	(8, 0.0)	(9, 1.0233565788780225e-05)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 3.070069736634067e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 1.0253992417582767e-05)	(20, 0.0)	(21, 1.0291857524876191e-05)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 4.470153289379061e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)
SRR25680450	(1, 0.0)	(2, 0.13703706100275997)	(3, 0.0)	(4, 0.005509649213290607)	(5, 0.0013226964432597483)	(6, 0.0006851377260050494)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0005614323032541377)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 2.8652643808096816e-05)	(22, 0.0)	(23, 0.0)	(24, 0.00012601257159573887)	(25, 0.0)	(26, 0.00016571376378555743)	(27, 9.776050241077399e-06)	(28, 2.940869697513906e-05)	(29, 1.9729553203551673e-05)	(30, 1.0160989704783621e-05)	(31, 3.837276454663538e-05)	(32, 4.810601796663559e-05)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)
SRR25680451	(1, 0.0)	(2, 0.13867780981708333)	(3, 0.0)	(4, 0.005635908358913701)	(5, 0.001115017840792279)	(6, 0.0005169628170946021)	(7, 0.0)	(8, 0.0)	(9, 2.027305165076871e-05)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 3.0409577476153064e-05)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 1.0326153627557116e-05)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 4.359975728015122e-05)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)
SRR25680452	(1, 0.0)	(2, 0.049845190668944335)	(3, 0.0)	(4, 0.020498572398371037)	(5, 0.007535226057830792)	(6, 0.0031561627044136135)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 9.028564934883581e-06)	(22, 0.0)	(23, 0.0)	(24, 0.0001433543777559879)	(25, 0.00037221813869688547)	(26, 0.0)	(27, 1.935545308922064e-05)	(28, 0.0004557778914816114)	(29, 0.0003758321888541197)	(30, 4.223716898162092e-05)	(31, 0.00011104847759232792)	(32, 3.423854569996735e-05)	(33, 0.0003382944845970762)	(34, 0.0002532519662904749)	(35, 0.00019221934533935364)	(36, 0.0)	(37, 0.00020890652059922743)	(38, 0.0)	(39, 0.0)
SRR25680453	(1, 0.0)	(2, 0.13144498976123326)	(3, 0.0)	(4, 0.011824628406640147)	(5, 0.0031515534132836214)	(6, 0.0022186936029516694)	(7, 2.521242730626897e-05)	(8, 2.521242730626897e-05)	(9, 2.521242730626897e-05)	(10, 2.521242730626897e-05)	(11, 2.521242730626897e-05)	(12, 3.7818640959403455e-05)	(13, 1.2606213653134485e-05)	(14, 2.521242730626897e-05)	(15, 2.521242730626897e-05)	(16, 5.042485461253794e-05)	(17, 3.7818640959403455e-05)	(18, 6.303106826567243e-05)	(19, 7.611587779748051e-05)	(20, 6.390762944618159e-05)	(21, 7.766995318443572e-05)	(22, 2.6221646861019764e-05)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 2.989189446905793e-05)	(28, 7.74962871528825e-05)	(29, 9.823142505146916e-05)	(30, 0.00021021829067303488)	(31, 0.0001597972173312067)	(32, 0.00011812260654068497)	(33, 0.00021950395033942628)	(34, 0.00017006947337987568)	(35, 5.374307050284704e-05)	(36, 0.0)	(37, 8.743245842586602e-05)	(38, 0.0)	(39, 0.0)
