Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR25680444	(1, 36.67275892266794)	(2, 36.717574032934735)	(3, 36.657460050593805)	(4, 36.62538437833399)	(5, 36.73215056825385)	(6, 36.76588136396528)	(7, 36.80788611908073)	(8, 36.76162867580372)	(9, 36.82374164002723)	(10, 36.796246618465375)	(11, 36.805700482338004)	(12, 35.893624673549034)	(13, 36.66680722668326)	(14, 36.75372441784943)	(15, 36.56795806994584)	(16, 36.58701744257486)	(17, 36.66846898155101)	(18, 36.628149581343095)	(19, 36.673071663514314)	(20, 36.72421624677248)	(21, 36.7633586443956)	(22, 36.84720533807724)	(23, 36.80702299664072)	(24, 36.791417849299265)	(25, 36.81742193028593)	(26, 36.83534718067273)	(27, 36.90168891747776)	(28, 36.773119421324644)	(29, 36.94210254965091)	(30, 36.93389319175315)	(31, 36.819726297003434)	(32, 36.76731145063052)	(33, 36.70886098223346)	(34, 36.65104718265719)	(35, 36.58431221339356)	(36, 36.72882737599461)	(37, 36.81489640390569)	(38, 36.82898384475671)	(39, 36.87355485487913)
SRR25680445	(1, 36.60715627879531)	(2, 36.65849827428602)	(3, 36.6350103824935)	(4, 36.728349259854866)	(5, 36.71019289005454)	(6, 36.744169158033586)	(7, 36.80896308577715)	(8, 36.80214814341076)	(9, 36.82947418616689)	(10, 36.780140966960154)	(11, 36.78210849150204)	(12, 36.11045496903801)	(13, 36.67642230113617)	(14, 36.71402456826236)	(15, 36.672044979276556)	(16, 36.69541104800872)	(17, 36.67025502078141)	(18, 36.751662580457804)	(19, 36.68036939476004)	(20, 36.71083231351973)	(21, 36.75079336208703)	(22, 36.765112590561976)	(23, 36.7957983331)	(24, 36.57942094998897)	(25, 36.74637237219055)	(26, 36.7998220610351)	(27, 36.80008314221878)	(28, 36.74135217860947)	(29, 36.9174698534684)	(30, 36.791843209820414)	(31, 36.74956602700319)	(32, 36.74778347169181)	(33, 36.606940914368195)	(34, 36.27196922395214)	(35, 36.18422627141692)	(36, 36.48400767631537)	(37, 36.56384810957107)	(38, 36.619801176709274)	(39, 36.694784739236965)
SRR25680446	(1, 36.60200461071971)	(2, 36.62384705971153)	(3, 36.589312584598716)	(4, 36.62283666084549)	(5, 36.55931176235403)	(6, 36.66236669395249)	(7, 36.666185916366906)	(8, 36.65669796651649)	(9, 36.718033551748896)	(10, 36.73359629293613)	(11, 36.63665959575912)	(12, 36.338096500580185)	(13, 36.68063342001121)	(14, 36.74530212136153)	(15, 36.62047069887922)	(16, 36.50380895675399)	(17, 36.63695665520781)	(18, 36.683529328099134)	(19, 36.68837551144685)	(20, 36.66817645071703)	(21, 36.64601634480434)	(22, 36.73549802392433)	(23, 36.6563256345512)	(24, 36.61359879949526)	(25, 36.70159329548237)	(26, 36.70808205266042)	(27, 36.670043557476035)	(28, 36.728978406283936)	(29, 36.76480545915285)	(30, 36.71018206250439)	(31, 36.72846826314544)	(32, 36.68415073796478)	(33, 36.20806478655981)	(34, 35.99361408159597)	(35, 36.030651113668995)	(36, 36.368699014231964)	(37, 36.52903320169665)	(38, 36.610215121398916)	(39, 36.67877939782422)
SRR25680447	(1, 36.56805377968472)	(2, 36.515990045226594)	(3, 36.41504056798698)	(4, 36.18141467010603)	(5, 36.569192824218675)	(6, 36.605943154423215)	(7, 36.679683894339234)	(8, 36.56119572134604)	(9, 36.64302937326181)	(10, 36.71000376204646)	(11, 36.73376782430657)	(12, 36.28016639730726)	(13, 36.63350401226357)	(14, 36.74920569252712)	(15, 36.56790880611866)	(16, 36.48248234123519)	(17, 36.57628363720746)	(18, 36.51802067133192)	(19, 36.68564775231123)	(20, 36.66063145699403)	(21, 36.565152855842946)	(22, 36.70317191707346)	(23, 36.61317711688503)	(24, 36.64455553203067)	(25, 36.74908846457638)	(26, 36.754321600936976)	(27, 36.7588784128543)	(28, 36.74362003708521)	(29, 36.78474173889799)	(30, 36.84435935343177)	(31, 36.76658927458412)	(32, 36.70075191682417)	(33, 36.69327040220827)	(34, 36.55078409337607)	(35, 36.31259365755205)	(36, 36.62310147127404)	(37, 36.71602753195673)	(38, 36.74662162162162)	(39, 36.756430120855285)
SRR25680448	(1, 36.65444087101629)	(2, 36.70205825522887)	(3, 36.6944168522167)	(4, 36.68958292886519)	(5, 36.71987157633375)	(6, 36.75624370105115)	(7, 36.77609009972902)	(8, 36.74606535638511)	(9, 36.80622886292254)	(10, 36.78506615690811)	(11, 36.77613632959531)	(12, 36.41309878690136)	(13, 36.6757124141599)	(14, 36.74602804079796)	(15, 36.75042164022114)	(16, 36.7993992812396)	(17, 36.68481389317356)	(18, 36.81219054624111)	(19, 36.69749424314453)	(20, 36.73315679185857)	(21, 36.76524783203033)	(22, 36.733939642507615)	(23, 36.75023572169387)	(24, 36.829260616892356)	(25, 36.77827935218718)	(26, 36.807338016194024)	(27, 36.730820612657865)	(28, 36.80737417760212)	(29, 36.816054338251796)	(30, 36.72321923673618)	(31, 36.77482956732355)	(32, 36.64508214343031)	(33, 36.395655218799185)	(34, 36.26223013576675)	(35, 36.01459695291499)	(36, 36.58218877680571)	(37, 36.62398040630672)	(38, 36.68947876272143)	(39, 36.696333837171395)
SRR25680449	(1, 36.64513984935168)	(2, 36.69730575796696)	(3, 36.6932085452321)	(4, 36.685303115660275)	(5, 36.74237847512706)	(6, 36.76694527549527)	(7, 36.800365747641294)	(8, 36.78055673667961)	(9, 36.83102571541579)	(10, 36.80189494937711)	(11, 36.82200472483733)	(12, 36.51621861557252)	(13, 36.67494224431308)	(14, 36.76267787856135)	(15, 36.76905001297104)	(16, 36.856268545140004)	(17, 36.68549734873894)	(18, 36.84738048858113)	(19, 36.70086284269996)	(20, 36.75226261841528)	(21, 36.778725371970886)	(22, 36.74668160052641)	(23, 36.760656457655855)	(24, 36.885421617407864)	(25, 36.81420272099754)	(26, 36.832695724018755)	(27, 36.75973656900283)	(28, 36.80801033007088)	(29, 36.84225778069219)	(30, 36.75861378431866)	(31, 36.78941152555268)	(32, 36.70741793526278)	(33, 36.437643481799405)	(34, 36.22900989366164)	(35, 36.1314144208869)	(36, 36.57418326065772)	(37, 36.680105994029454)	(38, 36.73194649132751)	(39, 36.75209490631767)
SRR25680450	(1, 36.70575161702019)	(2, 36.55235774923122)	(3, 36.54224445028926)	(4, 36.43812283301405)	(5, 36.44239618926397)	(6, 36.69355692676144)	(7, 36.56111085947102)	(8, 36.43828907407062)	(9, 36.71224139381374)	(10, 36.75522522189898)	(11, 36.653009905188355)	(12, 36.67492869809749)	(13, 36.69406811563145)	(14, 36.81536870496409)	(15, 36.62597836715693)	(16, 36.58763463432106)	(17, 36.64681797298959)	(18, 36.61951885061295)	(19, 36.769409821930616)	(20, 36.70659557808256)	(21, 36.60824720507786)	(22, 36.741413259378916)	(23, 36.57866830495074)	(24, 36.74083857101356)	(25, 36.72599797689886)	(26, 36.746910145025865)	(27, 36.69921938238825)	(28, 36.84286256806153)	(29, 36.75541529377749)	(30, 36.814655114163294)	(31, 36.78086938614449)	(32, 36.66198258369725)	(33, 36.28621695515721)	(34, 35.19984246315831)	(35, 35.384089471488366)	(36, 36.13214363574076)	(37, 36.511964166437465)	(38, 36.54682930904838)	(39, 36.74091966362498)
SRR25680451	(1, 36.65125789724056)	(2, 36.70269296067951)	(3, 36.647183622050306)	(4, 36.741719294664044)	(5, 36.74280876845975)	(6, 36.772318121077355)	(7, 36.6713168654659)	(8, 36.783357507258)	(9, 36.82368891894256)	(10, 36.80341789459696)	(11, 36.857594381445374)	(12, 36.63611007577762)	(13, 36.68465795256572)	(14, 36.76875928822532)	(15, 36.63948118017137)	(16, 36.63947073954977)	(17, 36.68823188884124)	(18, 36.74310941781574)	(19, 36.69578901212325)	(20, 36.74963461075706)	(21, 36.776175041621606)	(22, 36.79970046899526)	(23, 36.79203537879326)	(24, 36.71685528084348)	(25, 36.750226915632965)	(26, 36.830533857588534)	(27, 36.86513681947034)	(28, 36.79559292257342)	(29, 36.916644124544135)	(30, 36.81605133394076)	(31, 36.7790298901406)	(32, 36.66549591760755)	(33, 36.344445616626224)	(34, 36.217042535974386)	(35, 36.05263157894737)	(36, 36.381872122129856)	(37, 36.421557868180386)	(38, 36.51367537588832)	(39, 36.721123829344435)
SRR25680452	(1, 36.50459389522601)	(2, 36.63499946453137)	(3, 36.509212683074296)	(4, 36.61972924200332)	(5, 36.68541576179262)	(6, 36.68094932698352)	(7, 36.66620800898616)	(8, 36.724616201773095)	(9, 36.68750902001628)	(10, 36.73431128618306)	(11, 36.88303824510879)	(12, 36.730248618399514)	(13, 36.65201127142733)	(14, 36.731078991918636)	(15, 36.70040678531221)	(16, 36.820292231892296)	(17, 36.65255624151556)	(18, 36.8116700629635)	(19, 36.67403836678481)	(20, 36.6734227196887)	(21, 36.72993266014748)	(22, 36.62482142849546)	(23, 36.729416978805936)	(24, 36.7687508800366)	(25, 36.7986955101925)	(26, 36.803584551284544)	(27, 36.682475921171175)	(28, 36.767698251503475)	(29, 36.79181760837955)	(30, 36.63394166553114)	(31, 36.73912249950265)	(32, 36.56541335785361)	(33, 36.2949082169475)	(34, 36.2417627687531)	(35, 35.62925309328981)	(36, 36.50858783319197)	(37, 36.433155136071264)	(38, 36.593946881481195)	(39, 36.67079785401388)
SRR25680453	(1, 36.54723926442239)	(2, 36.5377002686132)	(3, 36.52369337856106)	(4, 36.51699670574425)	(5, 36.48991956731441)	(6, 36.587203482945554)	(7, 36.60397226834696)	(8, 36.52694023494957)	(9, 36.62605658979734)	(10, 36.675685488079814)	(11, 36.56358296829941)	(12, 36.553321888572164)	(13, 36.59554791394898)	(14, 36.63974063471782)	(15, 36.57262086711589)	(16, 36.48264376504236)	(17, 36.54440198391548)	(18, 36.529731124590235)	(19, 36.501385689555306)	(20, 36.49783826052635)	(21, 36.55784566850852)	(22, 36.54681573498096)	(23, 36.545614720068926)	(24, 36.57478538235213)	(25, 36.50067328743218)	(26, 36.501783213041655)	(27, 36.538746546178416)	(28, 36.684431243899105)	(29, 36.651720482480016)	(30, 36.62069753231756)	(31, 36.54973378782325)	(32, 36.60005929754848)	(33, 36.30178281108466)	(34, 35.87737480760891)	(35, 35.868381070615705)	(36, 36.20725837090072)	(37, 36.487475300330495)	(38, 36.390232222320456)	(39, 36.47238602857791)
