Sample	Unique Reads	Duplicate Reads
SRR25680444	179093.0	10075127.0
SRR25680445	125854.0	10225224.0
SRR25680446	104569.0	9977588.0
SRR25680447	173442.0	16891738.0
SRR25680448	251540.0	9395903.0
SRR25680449	165157.0	9606608.0
SRR25680450	113848.0	10394988.0
SRR25680451	179923.0	9685390.0
SRR25680452	293053.0	33070246.0
SRR25680453	381551.0	7551045.0
SRR25680454	390929.0	9807424.0
SRR25680455	98425.0	9692336.0
SRR25680456	225265.0	9661821.0
SRR25680457	390055.0	9080686.0
SRR25680458	456018.0	9064348.0
SRR25680459	164949.0	9733698.0
SRR25680460	198605.0	22898118.0
