miRNA,SRR25680444_exo,SRR25680445_exo,SRR25680447_exo,SRR25680448_exo,SRR25680449_exo,SRR25680450_exo,SRR25680451_exo,SRR25680452_exo,SRR25680454_exo,SRR25680455_exo,SRR25680456_exo,SRR25680457_exo,SRR25680458_exo,SRR25680459_exo,SRR25680460_exo,SRR25680461_cf,SRR25680462_cf,SRR25680465_cf,SRR25680466_cf,SRR25680467_cf,SRR25680468_cf,SRR25680469_cf,SRR25680470_cf,SRR25680471_cf,SRR25680472_cf,SRR25680473_cf,SRR25680474_cf,SRR25680476_cf,SRR25680477_cf,SRR25680478_cf,SRR25680400_ti,SRR25680409_ti,SRR25680420_ti,SRR25680431_ti,SRR25680442_ti,SRR25680453_ti,SRR25680464_ti,SRR25680475_ti,SRR25680479_ti,SRR25680480_ti,SRR25680483_ti,SRR25680484_ti,SRR25680485_ti,SRR25680486_ti,SRR25680487_ti
hsa-let-7a-1,2995,3255,8441,5934,707,339,2652,31387,269,348,6474,15123,24697,1672,3613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7a-2,2977,3255,8432,5928,707,339,2642,31322,284,349,6460,15130,24624,1680,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7a-3,2986,3256,8477,5945,707,347,2646,31317,269,348,6483,15138,24647,1671,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7a-5p,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,54143,38815,9765,9923,15605,6330,15808,1712,190,315,902,5325,2837,964,794,11204,3192,1802,74,27,246,100,81,53,479,8667,2950,4861,56,82
hsa-let-7b,5088,5197,17534,23638,1247,294,2110,13514,201,165,8918,32448,3630,866,44363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330954,209112,46823,170675,132396,6892,2413,1471,32,757,12330,26223,5277,3166,1540,2519,843,887,78,75,98,323,117,86,95,848,511,1221,66,35
hsa-let-7c,419,427,286,813,105,86,177,1454,155,72,957,2360,2911,180,12505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7c-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11822,4691,132,1822,2617,1786,1786,314,17,36,174,1359,432,246,361,203,104,36,2,2,1,8,6,8,9,140,96,89,4,2
hsa-let-7d,42,34,347,118,10,11,42,3559,11,22,90,126,351,26,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7d-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,889,31,193,660,118,862,6,3,7,34,132,46,8,56,174,58,30,0,4,0,2,5,0,14,249,78,39,1,1
