.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR25680461_clean	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680462_clean	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680463_clean	1	1	1	1	0.5	0.5	1	0.5	0.25	0.25	1
SRR25680465_clean	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
SRR25680466_clean	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
SRR25680467_clean	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680468_clean	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680469_clean	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680470_clean	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680471_clean	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
SRR25680472_clean	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680473_clean	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680474_clean	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680475_clean	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
SRR25680476_clean	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
SRR25680477_clean	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680478_clean	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
