Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR25680461_clean	(1, 0.0)	(2, 0.02749811874149791)	(3, 0.011323979254636535)	(4, 2.0816138335728925e-05)	(5, 4.163227667145785e-05)	(6, 0.0015820265135153982)	(7, 4.163227667145785e-05)	(8, 0.0009991746401149884)	(9, 8.32645533429157e-05)	(10, 0.0)	(11, 0.000811829395093428)	(12, 0.022294084157565678)	(13, 0.0004995873200574942)	(14, 0.0043089406354958875)	(15, 4.163227667145785e-05)	(16, 0.02852509239943708)	(17, 4.1696531807573844e-05)	(18, 0.0)	(19, 4.295706098098463e-05)	(20, 0.001746209068527875)	(21, 0.0)	(22, 2.9726763480789972e-05)	(23, 0.0)	(24, 6.285995179898895e-05)	(25, 0.0)	(26, 0.0012713224614074176)	(27, 0.005406249100775099)	(28, 0.00019114209312060492)	(29, 0.0006537891987486475)	(30, 0.0)
SRR25680462_clean	(1, 0.0)	(2, 0.045168379634665336)	(3, 0.017516660844053095)	(4, 3.905609998674046e-05)	(5, 0.0017575244994033207)	(6, 0.0009178183496884008)	(7, 3.905609998674046e-05)	(8, 0.0007420658997480687)	(9, 0.0)	(10, 5.8584149980110674e-05)	(11, 1.952804999337023e-05)	(12, 0.0002929207499005534)	(13, 0.0019332769493436523)	(14, 0.006209919897891732)	(15, 0.00013669634995359158)	(16, 1.9530628224140522e-05)	(17, 1.954180715597528e-05)	(18, 0.00013680272870631325)	(19, 0.0)	(20, 0.0021600971750123316)	(21, 0.0)	(22, 5.7768890354934955e-05)	(23, 4.204744128705536e-05)	(24, 0.0)	(25, 0.001032134018178829)	(26, 0.0012981040263478029)	(27, 0.00647093415313636)	(28, 0.0002858874518279644)	(29, 0.00041409753653375513)	(30, 0.0)
SRR25680463_clean	(1, 0.0)	(2, 0.10706263876392494)	(3, 0.017023865776851426)	(4, 0.0060845756008518406)	(5, 0.0)	(6, 0.0009062133873609123)	(7, 0.0)	(8, 0.0)	(9, 6.472952766863659e-05)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0001941885830059098)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.00030609566560885107)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.00038114113656286924)	(28, 0.0)	(29, 0.00029839968250273784)	(30, 0.0)
SRR25680465_clean	(1, 0.0)	(2, 0.02415541594619784)	(3, 0.009975292140744663)	(4, 2.236612587610911e-05)	(5, 2.236612587610911e-05)	(6, 0.004048268783575748)	(7, 6.709837762832733e-05)	(8, 0.002303710965239238)	(9, 6.709837762832733e-05)	(10, 4.473225175221822e-05)	(11, 0.0026392028533808744)	(12, 0.017378479805736778)	(13, 0.0004473225175221822)	(14, 0.003712776895434112)	(15, 2.236612587610911e-05)	(16, 0.021784699178801832)	(17, 6.710270001134035e-05)	(18, 0.0)	(19, 2.2575702538931235e-05)	(20, 0.001538698261270965)	(21, 0.0)	(22, 2.5470666070653082e-05)	(23, 0.0)	(24, 0.0001174268834171223)	(25, 0.0)	(26, 0.0009145294816165505)	(27, 0.003942708578947328)	(28, 8.679399055768177e-05)	(29, 0.0005297878517526442)	(30, 0.0)
SRR25680466_clean	(1, 0.0)	(2, 0.034026811299338634)	(3, 0.006245547904970942)	(4, 0.00030466087341321664)	(5, 0.00024753695964823856)	(6, 0.00043795000553149897)	(7, 0.0005331565284731292)	(8, 0.00047603261470815107)	(9, 0.00017137174129493437)	(10, 0.00022849565505991254)	(11, 9.520652294163021e-05)	(12, 0.012567261028295187)	(13, 3.808260917665208e-05)	(14, 0.002703865251542298)	(15, 0.0004950739192964771)	(16, 0.009491973564281818)	(17, 0.00038177016901347154)	(18, 9.55089951326706e-05)	(19, 0.0)	(20, 0.003379788190662202)	(21, 0.0)	(22, 2.5428017097798696e-05)	(23, 3.35628585352363e-05)	(24, 4.0813344657676026e-05)	(25, 9.021122507294705e-05)	(26, 0.0012266602335152198)	(27, 0.005447704671143157)	(28, 0.0003412067938367134)	(29, 0.0026713268394239586)	(30, 0.0)
SRR25680467_clean	(1, 0.0)	(2, 0.0063442425549504865)	(3, 0.0033967757588828384)	(4, 0.0007728114160421272)	(5, 0.0)	(6, 0.0009884797181934186)	(7, 0.0005751154724034435)	(8, 0.0008087561330673425)	(9, 0.0)	(10, 0.0)	(11, 0.0007368666990169119)	(12, 0.008950234539278588)	(13, 0.0)	(14, 0.008231340198774285)	(15, 0.0)	(16, 0.009582081041034678)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 9.11700028809721e-05)	(27, 0.00012343332255348983)	(28, 0.0)	(29, 0.0)	(30, 0.0)
SRR25680468_clean	(1, 0.0)	(2, 0.10037808213019409)	(3, 0.016578378336317586)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.01143410970001565)	(13, 8.64582964084359e-05)	(14, 8.64582964084359e-05)	(15, 0.0)	(16, 0.013101728217403939)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0004988328696497057)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 7.641550164866444e-05)	(28, 0.0)	(29, 0.0)	(30, 0.0)
SRR25680469_clean	(1, 0.0)	(2, 0.0)	(3, 0.001765084114663226)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.008506024400186595)	(9, 0.017634030821730706)	(10, 0.0)	(11, 0.0)	(12, 0.010523263388373139)	(13, 0.051019336076218016)	(14, 0.0008405162450777267)	(15, 0.0)	(16, 0.00818779816320955)	(17, 1.6815958748435274e-05)	(18, 0.0)	(19, 0.0005654436532748995)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0005028007480492071)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.00014042340464969977)	(30, 0.0)
SRR25680470_clean	(1, 0.0)	(2, 0.045527144368359834)	(3, 0.00717481452931137)	(4, 0.0003466093975512739)	(5, 0.0003292789276737102)	(6, 0.0003812703373064013)	(7, 0.0003466093975512739)	(8, 0.0004332617469390924)	(9, 0.00020796563853076435)	(10, 5.199140963269109e-05)	(11, 0.0)	(12, 0.017330469877563696)	(13, 5.199140963269109e-05)	(14, 0.002166308734695462)	(15, 0.0006585578553474204)	(16, 0.016683830316080544)	(17, 0.00020863483965369398)	(18, 0.00017394523090881513)	(19, 5.287273427115464e-05)	(20, 0.0025615396465433543)	(21, 1.8440909608931006e-05)	(22, 1.9395248396885742e-05)	(23, 4.235728454225965e-05)	(24, 6.845781207463453e-05)	(25, 5.080827067191652e-05)	(26, 0.0008348574451096138)	(27, 0.004005422296897225)	(28, 0.000123792711580313)	(29, 0.002145010403300456)	(30, 0.0)
SRR25680471_clean	(1, 0.0)	(2, 0.018654987587727212)	(3, 0.002174383084844022)	(4, 0.0074579307676425795)	(5, 0.0)	(6, 0.0008534961641443823)	(7, 0.00014224936069073038)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.013310475893204058)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.001736126455663118)	(28, 3.961520954663165e-05)	(29, 0.0)	(30, 0.0)
