.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR25680461	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680462	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680463	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680465	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
SRR25680466	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
SRR25680467	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680468	1	1	0.5	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680469	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR25680470	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680471	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680472	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680473	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680474	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680475	1	1	1	1	0.5	0.25	1	0.5	0.25	0.25	1
SRR25680476	1	1	1	1	0.25	1	1	0.5	0.25	0.25	1
SRR25680477	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
SRR25680478	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
