Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR25680461	(0.0, 2.0)	(1.0, 2.0)	(2.0, 1.5)	(3.0, 1.5)	(4.0, 2.0)	(5.0, 2.0)	(6.0, 2.0)	(7.0, 4.5)	(8.0, 8.0)	(9.0, 9.0)	(10.0, 31.5)	(11.0, 56.0)	(12.0, 59.0)	(13.0, 64.5)	(14.0, 91.5)	(15.0, 98.0)	(16.0, 142.0)	(17.0, 315.5)	(18.0, 564.0)	(19.0, 1087.5)	(20.0, 1719.5)	(21.0, 2503.0)	(22.0, 3202.0)	(23.0, 3915.5)	(24.0, 5932.5)	(25.0, 9947.0)	(26.0, 14187.5)	(27.0, 16860.0)	(28.0, 26632.5)	(29.0, 38303.5)	(30.0, 54933.0)	(31.0, 96967.5)	(32.0, 125669.0)	(33.0, 133686.5)	(34.0, 160340.5)	(35.0, 184247.0)	(36.0, 262289.0)	(37.0, 344655.0)	(38.0, 366790.0)	(39.0, 684468.5)	(40.0, 973065.0)	(41.0, 982978.0)	(42.0, 1015237.5)	(43.0, 853576.0)	(44.0, 692707.0)	(45.0, 825813.5)	(46.0, 938885.5)	(47.0, 936826.5)	(48.0, 900706.5)	(49.0, 853623.0)	(50.0, 793429.0)	(51.0, 733235.0)	(52.0, 701981.5)	(53.0, 649111.5)	(54.0, 635323.5)	(55.0, 620187.5)	(56.0, 595676.5)	(57.0, 557034.0)	(58.0, 453737.5)	(59.0, 398457.5)	(60.0, 441840.0)	(61.0, 479741.0)	(62.0, 471216.5)	(63.0, 400651.5)	(64.0, 281641.0)	(65.0, 211482.0)	(66.0, 170307.0)	(67.0, 125750.5)	(68.0, 91823.0)	(69.0, 59452.5)	(70.0, 46065.5)	(71.0, 39364.5)	(72.0, 34377.0)	(73.0, 27827.5)	(74.0, 21625.0)	(75.0, 17130.5)	(76.0, 13984.0)	(77.0, 13609.0)	(78.0, 13155.0)	(79.0, 12408.5)	(80.0, 11476.0)	(81.0, 10317.5)	(82.0, 9336.0)	(83.0, 7365.0)	(84.0, 5073.5)	(85.0, 4204.5)	(86.0, 4157.0)	(87.0, 3886.0)	(88.0, 3494.0)	(89.0, 3197.0)	(90.0, 2464.5)	(91.0, 1896.0)	(92.0, 1495.0)	(93.0, 879.5)	(94.0, 658.5)	(95.0, 646.5)	(96.0, 620.0)	(97.0, 612.5)	(98.0, 334.5)	(99.0, 64.0)	(100.0, 64.0)
SRR25680462	(0.0, 3.0)	(1.0, 3.0)	(2.0, 5.5)	(3.0, 8.0)	(4.0, 8.0)	(5.0, 9.0)	(6.0, 32.0)	(7.0, 55.5)	(8.0, 58.0)	(9.0, 55.5)	(10.0, 112.5)	(11.0, 173.5)	(12.0, 213.0)	(13.0, 295.5)	(14.0, 520.0)	(15.0, 691.0)	(16.0, 742.0)	(17.0, 923.0)	(18.0, 1355.5)	(19.0, 2120.0)	(20.0, 3274.0)	(21.0, 4855.5)	(22.0, 5836.0)	(23.0, 7525.0)	(24.0, 10771.5)	(25.0, 16752.0)	(26.0, 23567.0)	(27.0, 27911.0)	(28.0, 42032.0)	(29.0, 59642.5)	(30.0, 78913.0)	(31.0, 110018.0)	(32.0, 127734.5)	(33.0, 134996.5)	(34.0, 165691.0)	(35.0, 198241.5)	(36.0, 313600.5)	(37.0, 432892.5)	(38.0, 465032.0)	(39.0, 688520.0)	(40.0, 921473.5)	(41.0, 1096428.0)	(42.0, 1260669.5)	(43.0, 1215870.5)	(44.0, 1173079.0)	(45.0, 1200925.5)	(46.0, 1100178.0)	(47.0, 999564.0)	(48.0, 925857.5)	(49.0, 844561.0)	(50.0, 788138.0)	(51.0, 731715.0)	(52.0, 697545.0)	(53.0, 645864.5)	(54.0, 633681.0)	(55.0, 571893.0)	(56.0, 494478.5)	(57.0, 459575.0)	(58.0, 413276.0)	(59.0, 404214.0)	(60.0, 437833.5)	(61.0, 450668.5)	(62.0, 437179.5)	(63.0, 382183.0)	(64.0, 277808.5)	(65.0, 211867.5)	(66.0, 176705.5)	(67.0, 138139.0)	(68.0, 110958.5)	(69.0, 86115.0)	(70.0, 66672.5)	(71.0, 55705.5)	(72.0, 49777.0)	(73.0, 42957.5)	(74.0, 34263.0)	(75.0, 26726.0)	(76.0, 21715.0)	(77.0, 20475.5)	(78.0, 18932.0)	(79.0, 16762.5)	(80.0, 14551.0)	(81.0, 11939.0)	(82.0, 10845.5)	(83.0, 8950.0)	(84.0, 7010.5)	(85.0, 6917.5)	(86.0, 6911.5)	(87.0, 6381.5)	(88.0, 5893.0)	(89.0, 5064.5)	(90.0, 3390.5)	(91.0, 2302.5)	(92.0, 2241.5)	(93.0, 1856.5)	(94.0, 1320.0)	(95.0, 1143.0)	(96.0, 1139.0)	(97.0, 1004.5)	(98.0, 493.0)	(99.0, 116.0)	(100.0, 116.0)
SRR25680463	(0.0, 17.0)	(1.0, 17.0)	(2.0, 12.0)	(3.0, 7.5)	(4.0, 8.0)	(5.0, 6.5)	(6.0, 3.5)	(7.0, 2.5)	(8.0, 2.5)	(9.0, 2.5)	(10.0, 20.0)	(11.0, 38.5)	(12.0, 40.0)	(13.0, 74.0)	(14.0, 114.5)	(15.0, 122.0)	(16.0, 135.0)	(17.0, 213.5)	(18.0, 468.0)	(19.0, 838.0)	(20.0, 1378.5)	(21.0, 2019.0)	(22.0, 2481.5)	(23.0, 3325.0)	(24.0, 4661.0)	(25.0, 6572.5)	(26.0, 8806.5)	(27.0, 10516.5)	(28.0, 14347.5)	(29.0, 19048.0)	(30.0, 24656.5)	(31.0, 35009.5)	(32.0, 41936.5)	(33.0, 47749.5)	(34.0, 58745.5)	(35.0, 67773.5)	(36.0, 103400.0)	(37.0, 139815.5)	(38.0, 149572.0)	(39.0, 197887.0)	(40.0, 225432.0)	(41.0, 215503.0)	(42.0, 224988.5)	(43.0, 210120.5)	(44.0, 206574.0)	(45.0, 235234.0)	(46.0, 252727.5)	(47.0, 285174.5)	(48.0, 327889.5)	(49.0, 342678.0)	(50.0, 336133.5)	(51.0, 329589.0)	(52.0, 314929.5)	(53.0, 272805.0)	(54.0, 242173.5)	(55.0, 226448.0)	(56.0, 211423.0)	(57.0, 194122.0)	(58.0, 161853.0)	(59.0, 143160.5)	(60.0, 130353.0)	(61.0, 115536.5)	(62.0, 106623.5)	(63.0, 89711.0)	(64.0, 73089.5)	(65.0, 63579.0)	(66.0, 52282.5)	(67.0, 40539.0)	(68.0, 33567.0)	(69.0, 28273.0)	(70.0, 22971.0)	(71.0, 19542.5)	(72.0, 17416.0)	(73.0, 14835.5)	(74.0, 12347.0)	(75.0, 10333.5)	(76.0, 9201.5)	(77.0, 8701.5)	(78.0, 7811.5)	(79.0, 7374.5)	(80.0, 7368.5)	(81.0, 7021.5)	(82.0, 6325.0)	(83.0, 4965.5)	(84.0, 3500.0)	(85.0, 2719.0)	(86.0, 2395.5)	(87.0, 2280.5)	(88.0, 2140.0)	(89.0, 1954.5)	(90.0, 1641.5)	(91.0, 1412.0)	(92.0, 1483.0)	(93.0, 1527.0)	(94.0, 1476.0)	(95.0, 1468.5)	(96.0, 1467.0)	(97.0, 941.0)	(98.0, 262.5)	(99.0, 110.0)	(100.0, 110.0)
SRR25680465	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.5)	(3.0, 1.0)	(4.0, 1.0)	(5.0, 0.5)	(6.0, 0.0)	(7.0, 0.5)	(8.0, 1.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 2.0)	(12.0, 3.0)	(13.0, 4.0)	(14.0, 6.5)	(15.0, 9.5)	(16.0, 15.5)	(17.0, 59.0)	(18.0, 121.5)	(19.0, 252.0)	(20.0, 1252.0)	(21.0, 5621.5)	(22.0, 10969.0)	(23.0, 14287.5)	(24.0, 16036.0)	(25.0, 16853.5)	(26.0, 16549.5)	(27.0, 18279.0)	(28.0, 26758.0)	(29.0, 36397.5)	(30.0, 44333.0)	(31.0, 60818.0)	(32.0, 73975.5)	(33.0, 91877.5)	(34.0, 133948.0)	(35.0, 174670.0)	(36.0, 216642.0)	(37.0, 244470.0)	(38.0, 272812.0)	(39.0, 336952.5)	(40.0, 369783.5)	(41.0, 382900.5)	(42.0, 405930.0)	(43.0, 423502.5)	(44.0, 464201.0)	(45.0, 639663.0)	(46.0, 768769.5)	(47.0, 769991.5)	(48.0, 851768.0)	(49.0, 914526.0)	(50.0, 913412.0)	(51.0, 912298.0)	(52.0, 803817.5)	(53.0, 701196.5)	(54.0, 708903.0)	(55.0, 717126.0)	(56.0, 712341.5)	(57.0, 664162.5)	(58.0, 538861.0)	(59.0, 453028.5)	(60.0, 430863.5)	(61.0, 404411.5)	(62.0, 374182.0)	(63.0, 283574.0)	(64.0, 204996.0)	(65.0, 172682.0)	(66.0, 143459.5)	(67.0, 119527.0)	(68.0, 101218.5)	(69.0, 83039.5)	(70.0, 63533.0)	(71.0, 49397.5)	(72.0, 40325.0)	(73.0, 32488.0)	(74.0, 24066.0)	(75.0, 18630.5)	(76.0, 17300.0)	(77.0, 18674.5)	(78.0, 18579.0)	(79.0, 15856.0)	(80.0, 12498.5)	(81.0, 9232.5)	(82.0, 8421.0)	(83.0, 7964.0)	(84.0, 5665.5)	(85.0, 3263.5)	(86.0, 1963.5)	(87.0, 1359.0)	(88.0, 1555.0)	(89.0, 1553.0)	(90.0, 1512.5)	(91.0, 1488.5)	(92.0, 1203.0)	(93.0, 543.0)	(94.0, 164.5)	(95.0, 163.5)	(96.0, 162.0)	(97.0, 92.0)	(98.0, 13.5)	(99.0, 5.0)	(100.0, 5.0)
SRR25680466	(0.0, 24.0)	(1.0, 24.0)	(2.0, 17.0)	(3.0, 8.0)	(4.0, 6.0)	(5.0, 4.0)	(6.0, 1.5)	(7.0, 2.0)	(8.0, 42.5)	(9.0, 82.0)	(10.0, 114.5)	(11.0, 148.5)	(12.0, 152.0)	(13.0, 138.5)	(14.0, 139.5)	(15.0, 134.0)	(16.0, 155.0)	(17.0, 237.5)	(18.0, 507.0)	(19.0, 895.0)	(20.0, 1691.5)	(21.0, 2998.0)	(22.0, 4259.5)	(23.0, 5750.0)	(24.0, 7565.5)	(25.0, 9810.0)	(26.0, 12630.5)	(27.0, 15809.0)	(28.0, 21113.5)	(29.0, 28150.0)	(30.0, 37995.0)	(31.0, 59294.0)	(32.0, 75042.0)	(33.0, 86751.0)	(34.0, 117337.0)	(35.0, 143506.0)	(36.0, 340720.0)	(37.0, 538648.0)	(38.0, 558775.5)	(39.0, 776797.5)	(40.0, 863248.5)	(41.0, 776051.5)	(42.0, 819077.0)	(43.0, 742192.5)	(44.0, 671524.5)	(45.0, 778102.5)	(46.0, 890381.5)	(47.0, 939676.5)	(48.0, 973492.0)	(49.0, 981581.0)	(50.0, 961349.5)	(51.0, 941118.0)	(52.0, 918628.0)	(53.0, 849912.0)	(54.0, 829215.5)	(55.0, 814210.5)	(56.0, 770280.0)	(57.0, 713330.0)	(58.0, 576082.0)	(59.0, 480068.0)	(60.0, 463346.0)	(61.0, 464323.0)	(62.0, 449034.5)	(63.0, 369174.5)	(64.0, 267046.5)	(65.0, 208146.0)	(66.0, 156677.0)	(67.0, 106637.0)	(68.0, 83516.5)	(69.0, 65450.0)	(70.0, 51788.0)	(71.0, 44137.5)	(72.0, 37218.0)	(73.0, 30077.5)	(74.0, 24571.0)	(75.0, 18729.0)	(76.0, 13813.0)	(77.0, 12630.0)	(78.0, 11848.5)	(79.0, 11392.5)	(80.0, 10955.0)	(81.0, 10202.5)	(82.0, 9541.5)	(83.0, 7669.5)	(84.0, 5291.5)	(85.0, 4548.5)	(86.0, 4833.0)	(87.0, 4825.0)	(88.0, 4670.0)	(89.0, 4434.5)	(90.0, 2815.0)	(91.0, 1301.5)	(92.0, 1080.5)	(93.0, 934.5)	(94.0, 994.5)	(95.0, 1127.0)	(96.0, 1148.0)	(97.0, 1115.5)	(98.0, 714.0)	(99.0, 345.0)	(100.0, 345.0)
SRR25680467	(0.0, 1.0)	(1.0, 1.0)	(2.0, 50.0)	(3.0, 99.0)	(4.0, 99.0)	(5.0, 98.5)	(6.0, 98.0)	(7.0, 58.0)	(8.0, 46.0)	(9.0, 74.0)	(10.0, 74.0)	(11.0, 83.5)	(12.0, 93.0)	(13.0, 165.5)	(14.0, 319.0)	(15.0, 500.5)	(16.0, 680.0)	(17.0, 1043.0)	(18.0, 1782.5)	(19.0, 2732.0)	(20.0, 4068.5)	(21.0, 5629.5)	(22.0, 6664.5)	(23.0, 9070.5)	(24.0, 14202.5)	(25.0, 22998.0)	(26.0, 32907.0)	(27.0, 39566.0)	(28.0, 53074.0)	(29.0, 70918.0)	(30.0, 88979.0)	(31.0, 121257.0)	(32.0, 142804.0)	(33.0, 160131.5)	(34.0, 208124.0)	(35.0, 251064.0)	(36.0, 317317.0)	(37.0, 392592.5)	(38.0, 435449.0)	(39.0, 740845.5)	(40.0, 1059173.0)	(41.0, 1121365.5)	(42.0, 1165927.5)	(43.0, 1023967.0)	(44.0, 884458.0)	(45.0, 941542.0)	(46.0, 976049.5)	(47.0, 995345.5)	(48.0, 1001323.0)	(49.0, 985230.0)	(50.0, 979471.5)	(51.0, 973713.0)	(52.0, 977074.5)	(53.0, 939220.0)	(54.0, 900396.5)	(55.0, 835107.5)	(56.0, 764519.0)	(57.0, 692966.0)	(58.0, 587136.0)	(59.0, 554769.0)	(60.0, 547205.5)	(61.0, 517183.0)	(62.0, 493699.0)	(63.0, 427459.0)	(64.0, 322830.5)	(65.0, 267660.0)	(66.0, 222026.5)	(67.0, 171632.0)	(68.0, 144478.0)	(69.0, 119118.5)	(70.0, 99315.5)	(71.0, 88695.0)	(72.0, 81978.5)	(73.0, 72616.5)	(74.0, 62016.5)	(75.0, 56224.5)	(76.0, 51821.0)	(77.0, 49031.5)	(78.0, 46199.0)	(79.0, 43015.0)	(80.0, 39371.0)	(81.0, 36205.0)	(82.0, 34384.5)	(83.0, 31696.5)	(84.0, 29467.0)	(85.0, 29500.5)	(86.0, 28620.0)	(87.0, 27830.5)	(88.0, 29748.5)	(89.0, 30797.5)	(90.0, 28425.5)	(91.0, 25983.0)	(92.0, 23663.0)	(93.0, 15222.5)	(94.0, 8738.5)	(95.0, 8755.0)	(96.0, 8861.0)	(97.0, 6401.5)	(98.0, 2673.5)	(99.0, 1405.0)	(100.0, 1405.0)
SRR25680468	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.5)	(3.0, 1.5)	(4.0, 2.0)	(5.0, 2.0)	(6.0, 2.0)	(7.0, 3.5)	(8.0, 51.5)	(9.0, 99.0)	(10.0, 100.5)	(11.0, 102.0)	(12.0, 115.5)	(13.0, 120.0)	(14.0, 233.0)	(15.0, 408.0)	(16.0, 532.0)	(17.0, 658.5)	(18.0, 822.0)	(19.0, 1306.0)	(20.0, 2452.0)	(21.0, 4204.5)	(22.0, 5541.0)	(23.0, 7295.5)	(24.0, 10861.0)	(25.0, 17318.5)	(26.0, 23889.5)	(27.0, 27667.5)	(28.0, 34052.5)	(29.0, 41447.5)	(30.0, 50462.0)	(31.0, 67663.5)	(32.0, 78790.0)	(33.0, 89309.0)	(34.0, 117707.5)	(35.0, 142989.0)	(36.0, 191362.0)	(37.0, 240927.5)	(38.0, 263020.0)	(39.0, 340589.0)	(40.0, 408810.0)	(41.0, 428856.5)	(42.0, 465154.0)	(43.0, 502070.5)	(44.0, 541548.5)	(45.0, 661016.0)	(46.0, 777043.5)	(47.0, 826150.0)	(48.0, 892894.0)	(49.0, 930483.0)	(50.0, 931220.0)	(51.0, 931957.0)	(52.0, 909203.0)	(53.0, 858430.5)	(54.0, 828659.0)	(55.0, 799913.0)	(56.0, 761158.0)	(57.0, 711780.0)	(58.0, 604851.5)	(59.0, 527554.0)	(60.0, 493092.0)	(61.0, 444371.0)	(62.0, 407104.0)	(63.0, 347102.0)	(64.0, 284167.0)	(65.0, 255648.5)	(66.0, 224839.0)	(67.0, 195127.0)	(68.0, 174500.0)	(69.0, 152729.0)	(70.0, 136132.0)	(71.0, 123835.0)	(72.0, 113850.0)	(73.0, 103835.5)	(74.0, 93133.0)	(75.0, 84379.5)	(76.0, 74816.5)	(77.0, 66116.0)	(78.0, 59938.5)	(79.0, 54327.5)	(80.0, 45701.5)	(81.0, 34118.5)	(82.0, 26007.5)	(83.0, 18770.5)	(84.0, 12055.0)	(85.0, 9922.0)	(86.0, 8359.5)	(87.0, 6582.5)	(88.0, 5216.5)	(89.0, 4045.0)	(90.0, 2953.5)	(91.0, 2292.5)	(92.0, 2160.5)	(93.0, 1942.0)	(94.0, 1768.0)	(95.0, 1747.0)	(96.0, 1763.0)	(97.0, 1296.0)	(98.0, 493.5)	(99.0, 158.0)	(100.0, 158.0)
SRR25680469	(0.0, 22.0)	(1.0, 22.0)	(2.0, 20.0)	(3.0, 17.5)	(4.0, 17.0)	(5.0, 17.5)	(6.0, 33.0)	(7.0, 84.5)	(8.0, 163.0)	(9.0, 244.5)	(10.0, 342.5)	(11.0, 497.5)	(12.0, 721.5)	(13.0, 1245.5)	(14.0, 1900.5)	(15.0, 2601.0)	(16.0, 3620.5)	(17.0, 5143.0)	(18.0, 8037.5)	(19.0, 11978.5)	(20.0, 19709.0)	(21.0, 27850.5)	(22.0, 32284.0)	(23.0, 37226.5)	(24.0, 44310.5)	(25.0, 56604.5)	(26.0, 71259.0)	(27.0, 87308.5)	(28.0, 110083.5)	(29.0, 132696.5)	(30.0, 166311.5)	(31.0, 219520.5)	(32.0, 250603.0)	(33.0, 275071.0)	(34.0, 329831.0)	(35.0, 380840.5)	(36.0, 422328.0)	(37.0, 488526.0)	(38.0, 553282.5)	(39.0, 778379.5)	(40.0, 1006213.5)	(41.0, 1034195.0)	(42.0, 1049353.0)	(43.0, 933273.0)	(44.0, 801637.5)	(45.0, 859326.0)	(46.0, 890538.5)	(47.0, 875834.5)	(48.0, 835821.0)	(49.0, 779856.0)	(50.0, 762914.0)	(51.0, 745972.0)	(52.0, 738621.0)	(53.0, 751596.0)	(54.0, 735518.0)	(55.0, 662835.5)	(56.0, 615742.5)	(57.0, 543877.5)	(58.0, 455430.5)	(59.0, 415059.0)	(60.0, 388211.5)	(61.0, 361031.0)	(62.0, 337170.0)	(63.0, 293921.5)	(64.0, 244161.5)	(65.0, 215396.0)	(66.0, 184429.0)	(67.0, 158191.5)	(68.0, 145051.0)	(69.0, 129733.0)	(70.0, 122159.0)	(71.0, 122147.5)	(72.0, 120899.0)	(73.0, 123814.5)	(74.0, 136643.5)	(75.0, 170154.0)	(76.0, 207798.5)	(77.0, 242041.5)	(78.0, 288512.0)	(79.0, 292218.0)	(80.0, 236589.5)	(81.0, 185038.5)	(82.0, 132777.5)	(83.0, 89039.0)	(84.0, 78912.0)	(85.0, 86281.0)	(86.0, 91621.0)	(87.0, 89330.5)	(88.0, 83732.0)	(89.0, 69388.5)	(90.0, 46133.5)	(91.0, 30619.5)	(92.0, 26318.5)	(93.0, 19390.0)	(94.0, 13744.5)	(95.0, 11827.5)	(96.0, 11483.0)	(97.0, 10453.0)	(98.0, 5563.0)	(99.0, 1703.0)	(100.0, 1703.0)
SRR25680470	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 1.0)	(7.0, 2.0)	(8.0, 2.0)	(9.0, 3.0)	(10.0, 3.0)	(11.0, 2.5)	(12.0, 9.0)	(13.0, 57.5)	(14.0, 103.5)	(15.0, 118.0)	(16.0, 381.5)	(17.0, 997.0)	(18.0, 1921.5)	(19.0, 3241.5)	(20.0, 4681.0)	(21.0, 7578.5)	(22.0, 10425.0)	(23.0, 13915.5)	(24.0, 18076.0)	(25.0, 23339.0)	(26.0, 29806.0)	(27.0, 35958.0)	(28.0, 44346.0)	(29.0, 55653.0)	(30.0, 74893.0)	(31.0, 104316.0)	(32.0, 122833.5)	(33.0, 143415.0)	(34.0, 187999.0)	(35.0, 229416.0)	(36.0, 263927.5)	(37.0, 297748.5)	(38.0, 337586.0)	(39.0, 393742.0)	(40.0, 440760.0)	(41.0, 472369.5)	(42.0, 526722.5)	(43.0, 606729.0)	(44.0, 702645.0)	(45.0, 869246.0)	(46.0, 1008895.0)	(47.0, 1069597.0)	(48.0, 1158862.5)	(49.0, 1214870.0)	(50.0, 1150624.0)	(51.0, 1086378.0)	(52.0, 1009913.0)	(53.0, 927062.5)	(54.0, 918085.5)	(55.0, 915077.0)	(56.0, 895697.5)	(57.0, 812896.5)	(58.0, 656847.5)	(59.0, 582805.5)	(60.0, 550281.5)	(61.0, 480772.0)	(62.0, 445947.5)	(63.0, 365358.0)	(64.0, 287872.5)	(65.0, 245401.5)	(66.0, 193102.5)	(67.0, 151163.0)	(68.0, 126969.0)	(69.0, 112285.5)	(70.0, 94026.0)	(71.0, 77081.0)	(72.0, 61583.5)	(73.0, 52783.0)	(74.0, 45817.0)	(75.0, 37918.0)	(76.0, 35511.0)	(77.0, 32724.5)	(78.0, 24495.5)	(79.0, 18426.5)	(80.0, 15955.0)	(81.0, 13935.0)	(82.0, 12504.5)	(83.0, 9773.5)	(84.0, 7158.0)	(85.0, 6874.5)	(86.0, 7375.0)	(87.0, 7225.0)	(88.0, 6641.5)	(89.0, 5935.5)	(90.0, 5243.5)	(91.0, 3387.0)	(92.0, 1921.5)	(93.0, 1696.0)	(94.0, 1534.5)	(95.0, 1415.0)	(96.0, 1404.0)	(97.0, 1315.0)	(98.0, 664.0)	(99.0, 102.0)	(100.0, 102.0)
SRR25680471	(0.0, 66.0)	(1.0, 66.0)	(2.0, 78.5)	(3.0, 92.5)	(4.0, 94.0)	(5.0, 97.0)	(6.0, 138.0)	(7.0, 216.5)	(8.0, 277.0)	(9.0, 323.5)	(10.0, 599.0)	(11.0, 958.5)	(12.0, 1293.0)	(13.0, 2169.0)	(14.0, 2896.5)	(15.0, 3247.0)	(16.0, 3989.0)	(17.0, 5333.5)	(18.0, 7633.5)	(19.0, 9893.5)	(20.0, 13087.5)	(21.0, 16740.0)	(22.0, 22804.0)	(23.0, 31840.5)	(24.0, 39697.0)	(25.0, 48606.5)	(26.0, 60580.0)	(27.0, 74210.5)	(28.0, 95780.0)	(29.0, 122799.0)	(30.0, 152614.5)	(31.0, 181910.0)	(32.0, 203520.0)	(33.0, 237249.5)	(34.0, 282235.5)	(35.0, 328908.5)	(36.0, 370436.5)	(37.0, 398375.0)	(38.0, 445795.0)	(39.0, 503201.5)	(40.0, 552027.5)	(41.0, 593528.0)	(42.0, 637725.0)	(43.0, 704671.0)	(44.0, 772783.5)	(45.0, 843920.0)	(46.0, 894742.5)	(47.0, 992537.5)	(48.0, 1272679.0)	(49.0, 1465289.0)	(50.0, 1383337.5)	(51.0, 1301386.0)	(52.0, 1067948.0)	(53.0, 774880.5)	(54.0, 690780.0)	(55.0, 598520.0)	(56.0, 519755.0)	(57.0, 475989.0)	(58.0, 404910.5)	(59.0, 354334.5)	(60.0, 309134.0)	(61.0, 261074.0)	(62.0, 237150.0)	(63.0, 200485.0)	(64.0, 163094.0)	(65.0, 132122.0)	(66.0, 97352.0)	(67.0, 72846.0)	(68.0, 58649.5)	(69.0, 49975.5)	(70.0, 39350.5)	(71.0, 30220.0)	(72.0, 22473.5)	(73.0, 17094.5)	(74.0, 14058.0)	(75.0, 12433.5)	(76.0, 11742.0)	(77.0, 11194.0)	(78.0, 10707.5)	(79.0, 9992.5)	(80.0, 8647.5)	(81.0, 7708.0)	(82.0, 7230.0)	(83.0, 6526.5)	(84.0, 5734.5)	(85.0, 5069.0)	(86.0, 4997.5)	(87.0, 5005.5)	(88.0, 4589.5)	(89.0, 4165.5)	(90.0, 3710.5)	(91.0, 3284.5)	(92.0, 2927.5)	(93.0, 2327.0)	(94.0, 1873.5)	(95.0, 1785.5)	(96.0, 1821.0)	(97.0, 1493.0)	(98.0, 648.0)	(99.0, 131.0)	(100.0, 131.0)
