Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
SRR25680461	(24.0, 1.0)	(25.0, 8.0)	(26.0, 67.0)	(27.0, 485.0)	(28.0, 2366.0)	(29.0, 9916.0)	(30.0, 19814.0)	(31.0, 32351.0)	(32.0, 40974.0)	(33.0, 56531.0)	(34.0, 101160.0)	(35.0, 401851.0)	(36.0, 1010616.0)	(37.0, 3187349.0)	
SRR25680462	(25.0, 13.0)	(26.0, 96.0)	(27.0, 563.0)	(28.0, 2689.0)	(29.0, 11543.0)	(30.0, 22799.0)	(31.0, 37480.0)	(32.0, 47782.0)	(33.0, 64870.0)	(34.0, 120189.0)	(35.0, 518339.0)	(36.0, 1049797.0)	(37.0, 3310074.0)		
SRR25680463	(24.0, 1.0)	(25.0, 5.0)	(26.0, 45.0)	(27.0, 186.0)	(28.0, 942.0)	(29.0, 3760.0)	(30.0, 8118.0)	(31.0, 13251.0)	(32.0, 17494.0)	(33.0, 26008.0)	(34.0, 45463.0)	(35.0, 117715.0)	(36.0, 329422.0)	(37.0, 1071095.0)	
SRR25680465	(25.0, 8.0)	(26.0, 40.0)	(27.0, 401.0)	(28.0, 2045.0)	(29.0, 9760.0)	(30.0, 19596.0)	(31.0, 32466.0)	(32.0, 41063.0)	(33.0, 54772.0)	(34.0, 91273.0)	(35.0, 284947.0)	(36.0, 1179995.0)	(37.0, 2858380.0)		
SRR25680466	(25.0, 11.0)	(26.0, 92.0)	(27.0, 624.0)	(28.0, 3210.0)	(29.0, 14355.0)	(30.0, 28557.0)	(31.0, 46919.0)	(32.0, 60502.0)	(33.0, 78466.0)	(34.0, 121900.0)	(35.0, 372480.0)	(36.0, 1108428.0)	(37.0, 3551536.0)		
SRR25680467	(24.0, 1.0)	(25.0, 4.0)	(26.0, 51.0)	(27.0, 414.0)	(28.0, 2334.0)	(29.0, 9173.0)	(30.0, 20118.0)	(31.0, 32448.0)	(32.0, 41425.0)	(33.0, 57981.0)	(34.0, 90039.0)	(35.0, 317713.0)	(36.0, 945206.0)	(37.0, 4407647.0)	
SRR25680468	(24.0, 1.0)	(25.0, 3.0)	(26.0, 39.0)	(27.0, 413.0)	(28.0, 2211.0)	(29.0, 9146.0)	(30.0, 19927.0)	(31.0, 32888.0)	(32.0, 44019.0)	(33.0, 64468.0)	(34.0, 108545.0)	(35.0, 341951.0)	(36.0, 918081.0)	(37.0, 3163937.0)	
SRR25680469	(24.0, 1.0)	(25.0, 10.0)	(26.0, 51.0)	(27.0, 455.0)	(28.0, 2380.0)	(29.0, 10224.0)	(30.0, 23844.0)	(31.0, 39620.0)	(32.0, 52431.0)	(33.0, 79587.0)	(34.0, 131767.0)	(35.0, 471736.0)	(36.0, 1356757.0)	(37.0, 3883238.0)	
SRR25680470	(24.0, 2.0)	(25.0, 7.0)	(26.0, 60.0)	(27.0, 603.0)	(28.0, 3092.0)	(29.0, 13555.0)	(30.0, 28266.0)	(31.0, 46021.0)	(32.0, 58832.0)	(33.0, 80085.0)	(34.0, 124234.0)	(35.0, 372141.0)	(36.0, 1431729.0)	(37.0, 3723288.0)	
SRR25680471	(25.0, 1.0)	(26.0, 38.0)	(27.0, 342.0)	(28.0, 2022.0)	(29.0, 9771.0)	(30.0, 21001.0)	(31.0, 33843.0)	(32.0, 43037.0)	(33.0, 57766.0)	(34.0, 87109.0)	(35.0, 215266.0)	(36.0, 1154263.0)	(37.0, 4253609.0)		
