Sample	Unique Reads	Duplicate Reads
SRR25680461	148356.0	4715133.0
SRR25680462	194688.0	4991546.0
SRR25680463	123431.0	1510074.0
SRR25680465	125616.0	4449130.0
SRR25680466	198562.0	5188518.0
SRR25680467	287328.0	5637226.0
SRR25680468	221889.0	4483740.0
SRR25680469	1763949.0	4288152.0
SRR25680470	178996.0	5702919.0
SRR25680471	478835.0	5399233.0
SRR25680472	143609.0	3162079.0
SRR25680473	103306.0	2584912.0
SRR25680474	179780.0	5268223.0
SRR25680475	1015293.0	6018112.0
SRR25680476	126514.0	540138.0
SRR25680477	146512.0	3432152.0
SRR25680478	140327.0	2416585.0
