Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR25680461	(1.0, 1.6818121014704288)	(2.0, 0.6703008580141154)	(3.0, 0.4535676114217212)	(4.0, 0.3565700045942375)	(5.0, 0.32484709761926783)	(6.0, 0.29374326293045344)	(7.0, 0.2902650340208493)	(8.0, 0.2696345598892139)	(9.0, 0.24770023720411144)	('>10', 9.374248870943338)	('>50', 8.657042872839229)	('>100', 12.2968456674654)	('>500', 4.430189082659775)	('>1k', 9.119481652430846)	('>5k', 5.133293196256144)	('>10k+', 46.40045789024087)
SRR25680462	(1.0, 2.1524800746958803)	(2.0, 0.9113683612797812)	(3.0, 0.5527124595001113)	(4.0, 0.42607782775753844)	(5.0, 0.3492448468850432)	(6.0, 0.3241192914375331)	(7.0, 0.3118314463325463)	(8.0, 0.280227968267472)	(9.0, 0.2694578908317871)	('>10', 8.484473376616743)	('>50', 9.80105174756604)	('>100', 20.322939236464013)	('>500', 4.829496736830941)	('>1k', 11.055037288598857)	('>5k', 5.125882746691561)	('>10k+', 34.80359870024415)
SRR25680463	(1.0, 4.027118448017068)	(2.0, 1.8876163501331935)	(3.0, 1.269648966991274)	(4.0, 1.0180291484404858)	(5.0, 0.9227692292584999)	(6.0, 0.8816042911863707)	(7.0, 0.7904740056118265)	(8.0, 0.828032081271312)	(9.0, 0.8038409807738703)	('>10', 23.061470353859008)	('>50', 11.34234648600128)	('>100', 14.830986599570911)	('>500', 4.269615729661169)	('>1k', 13.134238349944072)	('>5k', 5.541471012646052)	('>10k+', 15.39073796663361)
SRR25680465	(1.0, 1.5434038710787772)	(2.0, 0.8000514916439099)	(3.0, 0.6048066159905474)	(4.0, 0.470576633491449)	(5.0, 0.3867688840670637)	(6.0, 0.29999733153605307)	(7.0, 0.2578732313998627)	(8.0, 0.2179090831860215)	(9.0, 0.18719434417601807)	('>10', 3.185453582824765)	('>50', 2.2836948212619834)	('>100', 11.741266491050611)	('>500', 21.081687994619255)	('>1k', 20.718437096110193)	('>5k', 5.974527118408307)	('>10k+', 30.246351409155185)
SRR25680466	(1.0, 1.998156424343855)	(2.0, 0.9124238436445128)	(3.0, 0.6069143266052163)	(4.0, 0.47696509550041444)	(5.0, 0.4024693996998745)	(6.0, 0.36613198847043693)	(7.0, 0.34880101239634853)	(8.0, 0.3335327397038086)	(9.0, 0.3368122798883692)	('>10', 9.12939884152034)	('>50', 8.558378528769962)	('>100', 18.404909116177397)	('>500', 4.374342286263835)	('>1k', 10.957485658637363)	('>5k', 3.7798091263370517)	('>10k+', 39.013469332041204)
SRR25680467	(1.0, 2.7121395758667286)	(2.0, 0.9912719141366865)	(3.0, 0.6433012203381363)	(4.0, 0.5366767831673974)	(5.0, 0.4730948453677258)	(6.0, 0.4427094178671191)	(7.0, 0.4153872694205469)	(8.0, 0.40243760117039407)	(9.0, 0.38842544014699476)	('>10', 15.866618417595193)	('>50', 17.782928991043054)	('>100', 15.258646377764048)	('>500', 3.6744300869568294)	('>1k', 8.901932299224374)	('>5k', 3.917864607145728)	('>10k+', 27.592135152789044)
SRR25680468	(1.0, 2.6809706779431215)	(2.0, 1.0452650780342763)	(3.0, 0.6443130425680104)	(4.0, 0.4855626191735355)	(5.0, 0.4221370921177194)	(6.0, 0.39358304665402216)	(7.0, 0.37135604018950935)	(8.0, 0.36111681363229065)	(9.0, 0.35610985519996086)	('>10', 11.591296017143678)	('>50', 17.12842466636632)	('>100', 26.08453784894513)	('>500', 6.289077064330165)	('>1k', 10.542936533890538)	('>5k', 3.6531824078586785)	('>10k+', 17.950131195953045)
SRR25680469	(1.0, 22.152202610897405)	(2.0, 8.409989885253946)	(3.0, 3.7314028635702092)	(4.0, 1.9757788630443596)	(5.0, 1.2260176834069263)	(6.0, 0.8841279824030774)	(7.0, 0.6731410987942908)	(8.0, 0.5639739654440877)	(9.0, 0.4858683726106847)	('>10', 6.630619373224284)	('>50', 2.8936981825832)	('>100', 7.907493149689317)	('>500', 4.6206839832818805)	('>1k', 11.47719069159227)	('>5k', 4.852422645604427)	('>10k+', 21.51538864859964)
SRR25680470	(1.0, 1.7476348325381121)	(2.0, 0.8307957379116832)	(3.0, 0.5587549330543096)	(4.0, 0.4252702549464298)	(5.0, 0.3395583501372688)	(6.0, 0.2811646946740939)	(7.0, 0.24827737826063212)	(8.0, 0.21952964250831214)	(9.0, 0.19431102122207183)	('>10', 4.464618389989087)	('>50', 3.906111830177557)	('>100', 23.637832247580565)	('>500', 16.44632550936527)	('>1k', 19.516571115798975)	('>5k', 6.2876986297543835)	('>10k+', 20.895545432081253)
SRR25680471	(1.0, 4.6772130863129044)	(2.0, 1.820880168455671)	(3.0, 1.1675826947759875)	(4.0, 0.9525002499597535)	(5.0, 0.8158534872484574)	(6.0, 0.7937406097148282)	(7.0, 0.7630694490760772)	(8.0, 0.7750400513061478)	(9.0, 0.7275972014204719)	('>10', 22.59728639689399)	('>50', 17.922393319218255)	('>100', 17.8115623339549)	('>500', 4.186634824431228)	('>1k', 5.566514453129975)	('>5k', 1.6424146811723968)	('>10k+', 17.779716992928975)
