Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR25680444	52.820136490147476	31.99387179132104
SRR25680445	66.77420458043115	22.190181544376344
SRR25680446	22.864849257951448	48.337434142316965
SRR25680447	24.990671062362075	59.34783576850639
SRR25680448	42.102036778035384	31.898970535508738
SRR25680449	55.36587300247192	29.59492988216561
SRR25680450	14.808661967890641	63.53863548731752
SRR25680451	51.02776769475028	35.40635760872463
SRR25680452	58.762600185311406	29.51549245774526
SRR25680453	4.227783691492672	45.58806473946234
SRR25680454	15.51642701522491	40.81391377607737
SRR25680455	18.34416139869005	63.24077362321479
SRR25680456	45.44787008022384	34.11897094856867
SRR25680457	39.64398350667599	22.382081824431687
SRR25680458	17.368964596529167	41.5545368738975
SRR25680459	48.11885907235605	39.845637489648844
SRR25680460	32.244981246906754	53.64942896877623
