Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR25680444	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 5.5)	(12.0, 10.0)	(13.0, 23.5)	(14.0, 44.5)	(15.0, 55.0)	(16.0, 57.5)	(17.0, 78.5)	(18.0, 162.0)	(19.0, 277.5)	(20.0, 395.0)	(21.0, 546.0)	(22.0, 732.0)	(23.0, 1167.0)	(24.0, 1804.0)	(25.0, 2553.0)	(26.0, 3341.0)	(27.0, 3945.5)	(28.0, 5301.5)	(29.0, 6880.0)	(30.0, 8639.0)	(31.0, 11375.5)	(32.0, 13129.5)	(33.0, 14840.5)	(34.0, 19356.5)	(35.0, 24402.0)	(36.0, 29880.5)	(37.0, 35773.0)	(38.0, 40754.0)	(39.0, 62550.0)	(40.0, 88234.5)	(41.0, 99621.5)	(42.0, 108562.5)	(43.0, 107429.5)	(44.0, 114211.0)	(45.0, 170760.5)	(46.0, 226736.0)	(47.0, 296979.0)	(48.0, 467183.5)	(49.0, 576265.5)	(50.0, 611313.5)	(51.0, 647076.5)	(52.0, 3644642.5)	(53.0, 6676444.0)	(54.0, 6706509.0)	(55.0, 4521510.0)	(56.0, 2235621.5)	(57.0, 2125203.0)	(58.0, 1185092.0)	(59.0, 238489.5)	(60.0, 205917.0)	(61.0, 132928.5)	(62.0, 73587.5)	(63.0, 59108.5)	(64.0, 43775.0)	(65.0, 34144.0)	(66.0, 26308.0)	(67.0, 19643.0)	(68.0, 16061.5)	(69.0, 12380.5)	(70.0, 9132.0)	(71.0, 7372.0)	(72.0, 6187.5)	(73.0, 5117.0)	(74.0, 4330.0)	(75.0, 4090.5)	(76.0, 3836.0)	(77.0, 3674.5)	(78.0, 3661.5)	(79.0, 3767.0)	(80.0, 4072.5)	(81.0, 4041.5)	(82.0, 3693.5)	(83.0, 2793.5)	(84.0, 1530.5)	(85.0, 889.5)	(86.0, 708.0)	(87.0, 574.5)	(88.0, 486.5)	(89.0, 364.0)	(90.0, 268.0)	(91.0, 253.5)	(92.0, 229.5)	(93.0, 191.0)	(94.0, 196.5)	(95.0, 217.0)	(96.0, 213.0)	(97.0, 183.5)	(98.0, 84.5)	(99.0, 15.0)	(100.0, 15.0)
SRR25680445	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 2.0)	(9.0, 2.5)	(10.0, 3.0)	(11.0, 2.5)	(12.0, 4.0)	(13.0, 6.5)	(14.0, 14.0)	(15.0, 24.5)	(16.0, 33.5)	(17.0, 45.0)	(18.0, 71.0)	(19.0, 105.0)	(20.0, 157.5)	(21.0, 240.5)	(22.0, 301.0)	(23.0, 452.5)	(24.0, 740.0)	(25.0, 1183.5)	(26.0, 1628.5)	(27.0, 1918.5)	(28.0, 3182.5)	(29.0, 4602.5)	(30.0, 5927.0)	(31.0, 7998.5)	(32.0, 9100.0)	(33.0, 9673.5)	(34.0, 12062.0)	(35.0, 14897.0)	(36.0, 18331.5)	(37.0, 22055.0)	(38.0, 25161.0)	(39.0, 43363.5)	(40.0, 64634.0)	(41.0, 73398.5)	(42.0, 79039.0)	(43.0, 73364.0)	(44.0, 68114.5)	(45.0, 86212.0)	(46.0, 105207.0)	(47.0, 137170.5)	(48.0, 266742.0)	(49.0, 365282.0)	(50.0, 410729.5)	(51.0, 457109.5)	(52.0, 4092767.0)	(53.0, 7768932.0)	(54.0, 7813664.0)	(55.0, 4804830.5)	(56.0, 1718755.0)	(57.0, 1642253.0)	(58.0, 930653.0)	(59.0, 203060.0)	(60.0, 165138.5)	(61.0, 109482.5)	(62.0, 64025.0)	(63.0, 48812.0)	(64.0, 34225.5)	(65.0, 26262.5)	(66.0, 21332.0)	(67.0, 16451.5)	(68.0, 13701.0)	(69.0, 10780.5)	(70.0, 8102.5)	(71.0, 6746.5)	(72.0, 6002.5)	(73.0, 5180.0)	(74.0, 4413.5)	(75.0, 3804.5)	(76.0, 3153.5)	(77.0, 2691.0)	(78.0, 2403.0)	(79.0, 2211.5)	(80.0, 2029.5)	(81.0, 1705.0)	(82.0, 1438.5)	(83.0, 1158.0)	(84.0, 884.0)	(85.0, 752.0)	(86.0, 611.5)	(87.0, 488.5)	(88.0, 425.0)	(89.0, 341.0)	(90.0, 260.5)	(91.0, 228.0)	(92.0, 205.0)	(93.0, 183.0)	(94.0, 172.5)	(95.0, 168.5)	(96.0, 167.0)	(97.0, 135.0)	(98.0, 54.5)	(99.0, 6.0)	(100.0, 6.0)
SRR25680446	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 2.5)	(14.0, 6.5)	(15.0, 10.0)	(16.0, 12.0)	(17.0, 97.0)	(18.0, 210.5)	(19.0, 276.0)	(20.0, 416.0)	(21.0, 981.5)	(22.0, 1842.5)	(23.0, 3231.5)	(24.0, 4699.0)	(25.0, 6506.5)	(26.0, 8156.5)	(27.0, 9155.0)	(28.0, 10966.5)	(29.0, 13466.5)	(30.0, 17756.0)	(31.0, 24496.5)	(32.0, 29200.0)	(33.0, 36331.5)	(34.0, 49989.5)	(35.0, 62839.5)	(36.0, 73448.0)	(37.0, 83839.0)	(38.0, 101309.0)	(39.0, 141807.0)	(40.0, 173814.5)	(41.0, 185351.0)	(42.0, 201582.0)	(43.0, 209195.0)	(44.0, 240015.0)	(45.0, 434545.0)	(46.0, 620297.0)	(47.0, 1032293.5)	(48.0, 1565074.0)	(49.0, 1690180.5)	(50.0, 1993899.0)	(51.0, 2310832.0)	(52.0, 3341119.0)	(53.0, 4031227.5)	(54.0, 3680961.5)	(55.0, 2662040.5)	(56.0, 1566610.5)	(57.0, 1458619.5)	(58.0, 1179665.0)	(59.0, 913573.5)	(60.0, 654155.0)	(61.0, 387667.0)	(62.0, 335127.0)	(63.0, 257158.5)	(64.0, 193208.0)	(65.0, 169498.5)	(66.0, 133039.5)	(67.0, 91556.0)	(68.0, 65297.0)	(69.0, 43814.5)	(70.0, 34329.5)	(71.0, 29878.0)	(72.0, 27663.5)	(73.0, 24150.5)	(74.0, 21301.5)	(75.0, 20812.5)	(76.0, 18132.0)	(77.0, 14940.0)	(78.0, 12626.0)	(79.0, 11442.0)	(80.0, 12217.5)	(81.0, 12390.5)	(82.0, 12802.5)	(83.0, 12405.0)	(84.0, 11187.5)	(85.0, 8192.0)	(86.0, 4601.0)	(87.0, 4108.0)	(88.0, 3829.0)	(89.0, 2422.5)	(90.0, 1043.5)	(91.0, 391.0)	(92.0, 198.0)	(93.0, 194.0)	(94.0, 216.0)	(95.0, 211.5)	(96.0, 211.0)	(97.0, 189.5)	(98.0, 87.5)	(99.0, 7.0)	(100.0, 7.0)
SRR25680447	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.5)	(3.0, 1.0)	(4.0, 1.0)	(5.0, 1.0)	(6.0, 1.0)	(7.0, 2.5)	(8.0, 4.0)	(9.0, 5.0)	(10.0, 8.0)	(11.0, 15.0)	(12.0, 21.5)	(13.0, 31.0)	(14.0, 43.0)	(15.0, 54.5)	(16.0, 75.0)	(17.0, 115.0)	(18.0, 202.5)	(19.0, 336.0)	(20.0, 574.0)	(21.0, 829.5)	(22.0, 946.5)	(23.0, 1079.0)	(24.0, 1335.0)	(25.0, 2146.0)	(26.0, 3171.5)	(27.0, 3851.5)	(28.0, 5661.0)	(29.0, 7673.5)	(30.0, 12455.5)	(31.0, 22892.5)	(32.0, 29180.5)	(33.0, 33011.5)	(34.0, 45372.0)	(35.0, 60332.5)	(36.0, 68879.5)	(37.0, 90190.0)	(38.0, 112185.0)	(39.0, 197138.0)	(40.0, 313202.0)	(41.0, 352490.0)	(42.0, 447793.0)	(43.0, 485814.0)	(44.0, 454577.5)	(45.0, 761982.5)	(46.0, 1055424.5)	(47.0, 1987028.5)	(48.0, 2848330.5)	(49.0, 2787894.5)	(50.0, 3776002.5)	(51.0, 4744348.0)	(52.0, 6707696.5)	(53.0, 7471981.0)	(54.0, 6256385.0)	(55.0, 4485139.5)	(56.0, 2192646.0)	(57.0, 1671255.5)	(58.0, 1283608.5)	(59.0, 769438.0)	(60.0, 550118.0)	(61.0, 410969.5)	(62.0, 326974.5)	(63.0, 213588.0)	(64.0, 125980.5)	(65.0, 109520.5)	(66.0, 87393.5)	(67.0, 65781.5)	(68.0, 43990.0)	(69.0, 24729.0)	(70.0, 21712.0)	(71.0, 20559.5)	(72.0, 19847.5)	(73.0, 18350.0)	(74.0, 17084.5)	(75.0, 14404.5)	(76.0, 8618.0)	(77.0, 4570.0)	(78.0, 3752.0)	(79.0, 3176.5)	(80.0, 2723.5)	(81.0, 2258.5)	(82.0, 1749.0)	(83.0, 1330.5)	(84.0, 1121.5)	(85.0, 977.0)	(86.0, 762.5)	(87.0, 596.5)	(88.0, 500.0)	(89.0, 360.5)	(90.0, 241.0)	(91.0, 195.0)	(92.0, 150.0)	(93.0, 92.0)	(94.0, 59.5)	(95.0, 45.5)	(96.0, 41.0)	(97.0, 36.0)	(98.0, 17.5)	(99.0, 4.0)	(100.0, 4.0)
SRR25680448	(0.0, 1.0)	(1.0, 1.0)	(2.0, 1.5)	(3.0, 2.0)	(4.0, 2.0)	(5.0, 2.0)	(6.0, 2.0)	(7.0, 2.0)	(8.0, 2.5)	(9.0, 2.5)	(10.0, 2.5)	(11.0, 8.5)	(12.0, 19.0)	(13.0, 49.5)	(14.0, 99.0)	(15.0, 138.0)	(16.0, 175.5)	(17.0, 236.0)	(18.0, 315.0)	(19.0, 477.0)	(20.0, 774.0)	(21.0, 1134.0)	(22.0, 1438.5)	(23.0, 2177.5)	(24.0, 3660.0)	(25.0, 5828.5)	(26.0, 8054.5)	(27.0, 9549.0)	(28.0, 12403.5)	(29.0, 16245.0)	(30.0, 20683.5)	(31.0, 27688.5)	(32.0, 32372.0)	(33.0, 37454.5)	(34.0, 49804.5)	(35.0, 62122.5)	(36.0, 77594.0)	(37.0, 94366.0)	(38.0, 106920.0)	(39.0, 158287.5)	(40.0, 216178.5)	(41.0, 243355.0)	(42.0, 267647.0)	(43.0, 267235.5)	(44.0, 267984.0)	(45.0, 352180.0)	(46.0, 446713.5)	(47.0, 654909.0)	(48.0, 909805.5)	(49.0, 962404.5)	(50.0, 974901.5)	(51.0, 996014.0)	(52.0, 3160463.5)	(53.0, 5408796.5)	(54.0, 5483037.5)	(55.0, 3705505.5)	(56.0, 1711027.5)	(57.0, 1472981.5)	(58.0, 957930.5)	(59.0, 425674.5)	(60.0, 336462.0)	(61.0, 250570.0)	(62.0, 204105.5)	(63.0, 159972.5)	(64.0, 114626.0)	(65.0, 94794.0)	(66.0, 77981.0)	(67.0, 61334.0)	(68.0, 50622.5)	(69.0, 37992.0)	(70.0, 27924.0)	(71.0, 22561.5)	(72.0, 19151.5)	(73.0, 15997.5)	(74.0, 13105.5)	(75.0, 10738.0)	(76.0, 8872.5)	(77.0, 7935.5)	(78.0, 7313.5)	(79.0, 6953.5)	(80.0, 6783.0)	(81.0, 6219.5)	(82.0, 5668.5)	(83.0, 4663.5)	(84.0, 3635.5)	(85.0, 3078.5)	(86.0, 2495.0)	(87.0, 2116.0)	(88.0, 1920.0)	(89.0, 1681.0)	(90.0, 1477.0)	(91.0, 1431.0)	(92.0, 1569.0)	(93.0, 1790.5)	(94.0, 2018.0)	(95.0, 2179.5)	(96.0, 2185.0)	(97.0, 1686.5)	(98.0, 664.0)	(99.0, 140.0)	(100.0, 140.0)
SRR25680449	(0.0, 1.0)	(1.0, 1.0)	(2.0, 0.5)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 2.5)	(11.0, 6.5)	(12.0, 10.0)	(13.0, 17.5)	(14.0, 26.5)	(15.0, 28.5)	(16.0, 36.5)	(17.0, 63.0)	(18.0, 103.0)	(19.0, 159.5)	(20.0, 257.0)	(21.0, 395.0)	(22.0, 540.0)	(23.0, 762.5)	(24.0, 1160.0)	(25.0, 1756.5)	(26.0, 2429.5)	(27.0, 3044.0)	(28.0, 3951.5)	(29.0, 5059.5)	(30.0, 6370.5)	(31.0, 8402.5)	(32.0, 10029.0)	(33.0, 11969.5)	(34.0, 15841.0)	(35.0, 19925.5)	(36.0, 23530.5)	(37.0, 27305.0)	(38.0, 31532.5)	(39.0, 40823.5)	(40.0, 53359.0)	(41.0, 61728.0)	(42.0, 71156.5)	(43.0, 83325.0)	(44.0, 100498.0)	(45.0, 200569.0)	(46.0, 301922.5)	(47.0, 482012.5)	(48.0, 723434.5)	(49.0, 790931.0)	(50.0, 770872.5)	(51.0, 754135.0)	(52.0, 3575118.5)	(53.0, 6475517.5)	(54.0, 6550305.5)	(55.0, 4181079.0)	(56.0, 1626465.0)	(57.0, 1429574.0)	(58.0, 834263.5)	(59.0, 234461.0)	(60.0, 182827.5)	(61.0, 112992.0)	(62.0, 72744.0)	(63.0, 54362.5)	(64.0, 37948.5)	(65.0, 30642.0)	(66.0, 25370.5)	(67.0, 19355.0)	(68.0, 15353.0)	(69.0, 12655.5)	(70.0, 10265.0)	(71.0, 8882.5)	(72.0, 7995.0)	(73.0, 7230.5)	(74.0, 6581.0)	(75.0, 6234.5)	(76.0, 6064.0)	(77.0, 5783.5)	(78.0, 5705.5)	(79.0, 5644.0)	(80.0, 5089.0)	(81.0, 4689.0)	(82.0, 4405.5)	(83.0, 3698.0)	(84.0, 3210.5)	(85.0, 2963.0)	(86.0, 2684.0)	(87.0, 2555.5)	(88.0, 2466.5)	(89.0, 2290.0)	(90.0, 2152.5)	(91.0, 2074.0)	(92.0, 1764.5)	(93.0, 1373.5)	(94.0, 1296.0)	(95.0, 1323.0)	(96.0, 1323.0)	(97.0, 1000.5)	(98.0, 381.5)	(99.0, 85.0)	(100.0, 85.0)
SRR25680450	(0.0, 2.0)	(1.0, 2.0)	(2.0, 2.0)	(3.0, 2.0)	(4.0, 2.0)	(5.0, 1.5)	(6.0, 0.5)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 2.0)	(13.0, 5.5)	(14.0, 9.5)	(15.0, 11.0)	(16.0, 13.0)	(17.0, 28.5)	(18.0, 51.5)	(19.0, 91.0)	(20.0, 182.0)	(21.0, 288.0)	(22.0, 386.0)	(23.0, 526.5)	(24.0, 668.0)	(25.0, 912.0)	(26.0, 1240.0)	(27.0, 1579.5)	(28.0, 2067.5)	(29.0, 2755.0)	(30.0, 3871.5)	(31.0, 5123.5)	(32.0, 5845.0)	(33.0, 7073.5)	(34.0, 11340.5)	(35.0, 16070.0)	(36.0, 19530.0)	(37.0, 23554.0)	(38.0, 27407.5)	(39.0, 43999.0)	(40.0, 61419.0)	(41.0, 66613.0)	(42.0, 82336.5)	(43.0, 98683.0)	(44.0, 148598.0)	(45.0, 413387.5)	(46.0, 640500.5)	(47.0, 1372429.5)	(48.0, 2247650.5)	(49.0, 2401526.0)	(50.0, 2826825.0)	(51.0, 3242799.5)	(52.0, 3556875.0)	(53.0, 3245728.5)	(54.0, 2611703.0)	(55.0, 2348391.0)	(56.0, 1975903.0)	(57.0, 1823728.5)	(58.0, 1436672.5)	(59.0, 1072498.5)	(60.0, 708389.0)	(61.0, 341471.5)	(62.0, 270433.0)	(63.0, 166959.0)	(64.0, 91216.0)	(65.0, 62949.5)	(66.0, 47362.0)	(67.0, 32854.5)	(68.0, 22521.0)	(69.0, 15396.5)	(70.0, 11549.0)	(71.0, 9408.0)	(72.0, 7994.5)	(73.0, 6925.0)	(74.0, 6040.0)	(75.0, 5203.5)	(76.0, 4146.0)	(77.0, 3304.0)	(78.0, 2874.5)	(79.0, 2639.5)	(80.0, 2548.0)	(81.0, 2458.0)	(82.0, 2268.0)	(83.0, 2047.5)	(84.0, 1903.0)	(85.0, 1638.0)	(86.0, 1212.5)	(87.0, 927.0)	(88.0, 812.0)	(89.0, 489.0)	(90.0, 180.0)	(91.0, 119.0)	(92.0, 85.5)	(93.0, 72.5)	(94.0, 59.5)	(95.0, 46.0)	(96.0, 41.0)	(97.0, 31.0)	(98.0, 10.5)	(99.0, 0.0)	(100.0, 0.0)
SRR25680451	(0.0, 6.0)	(1.0, 6.5)	(2.0, 5.0)	(3.0, 3.0)	(4.0, 2.5)	(5.0, 2.0)	(6.0, 1.5)	(7.0, 1.5)	(8.0, 2.0)	(9.0, 3.5)	(10.0, 6.5)	(11.0, 9.5)	(12.0, 16.5)	(13.0, 26.0)	(14.0, 32.5)	(15.0, 37.5)	(16.0, 55.5)	(17.0, 91.5)	(18.0, 126.5)	(19.0, 165.0)	(20.0, 255.5)	(21.0, 372.5)	(22.0, 485.5)	(23.0, 659.5)	(24.0, 925.0)	(25.0, 1330.5)	(26.0, 1812.5)	(27.0, 2403.5)	(28.0, 3809.5)	(29.0, 5312.0)	(30.0, 6975.0)	(31.0, 9419.5)	(32.0, 11305.5)	(33.0, 13123.5)	(34.0, 16274.5)	(35.0, 20057.5)	(36.0, 23919.5)	(37.0, 28182.5)	(38.0, 32961.5)	(39.0, 44137.0)	(40.0, 62311.5)	(41.0, 75560.0)	(42.0, 85558.0)	(43.0, 93303.0)	(44.0, 100206.0)	(45.0, 172303.0)	(46.0, 248943.0)	(47.0, 513073.0)	(48.0, 860926.0)	(49.0, 946881.0)	(50.0, 873467.0)	(51.0, 804844.5)	(52.0, 3425851.5)	(53.0, 6283880.0)	(54.0, 6516674.0)	(55.0, 4346942.5)	(56.0, 1789093.5)	(57.0, 1392273.5)	(58.0, 797914.5)	(59.0, 199193.0)	(60.0, 149924.5)	(61.0, 81817.0)	(62.0, 46008.5)	(63.0, 35323.0)	(64.0, 25860.5)	(65.0, 20299.5)	(66.0, 16339.5)	(67.0, 12509.0)	(68.0, 9991.0)	(69.0, 7882.5)	(70.0, 6043.5)	(71.0, 4779.0)	(72.0, 3926.5)	(73.0, 3245.5)	(74.0, 2789.0)	(75.0, 2857.0)	(76.0, 2771.5)	(77.0, 2514.0)	(78.0, 2537.5)	(79.0, 3042.0)	(80.0, 3721.0)	(81.0, 3900.0)	(82.0, 3676.0)	(83.0, 2630.0)	(84.0, 1290.0)	(85.0, 745.0)	(86.0, 608.0)	(87.0, 488.5)	(88.0, 397.0)	(89.0, 285.0)	(90.0, 199.0)	(91.0, 174.0)	(92.0, 173.0)	(93.0, 163.0)	(94.0, 162.0)	(95.0, 173.5)	(96.0, 173.0)	(97.0, 122.5)	(98.0, 38.5)	(99.0, 5.0)	(100.0, 5.0)
SRR25680452	(0.0, 2.0)	(1.0, 2.0)	(2.0, 2.0)	(3.0, 2.5)	(4.0, 3.0)	(5.0, 3.0)	(6.0, 3.0)	(7.0, 11.0)	(8.0, 21.0)	(9.0, 23.0)	(10.0, 26.0)	(11.0, 49.0)	(12.0, 78.5)	(13.0, 94.5)	(14.0, 110.0)	(15.0, 140.0)	(16.0, 195.0)	(17.0, 299.5)	(18.0, 483.0)	(19.0, 668.0)	(20.0, 1125.5)	(21.0, 1704.5)	(22.0, 1983.0)	(23.0, 2316.5)	(24.0, 2996.0)	(25.0, 5337.0)	(26.0, 7879.0)	(27.0, 8897.5)	(28.0, 19520.5)	(29.0, 30301.5)	(30.0, 49437.0)	(31.0, 78068.0)	(32.0, 88431.5)	(33.0, 99513.5)	(34.0, 129102.0)	(35.0, 180303.0)	(36.0, 255551.0)	(37.0, 348881.0)	(38.0, 408240.5)	(39.0, 692253.0)	(40.0, 944994.5)	(41.0, 885089.0)	(42.0, 861873.0)	(43.0, 705863.5)	(44.0, 535600.0)	(45.0, 720148.5)	(46.0, 1093021.5)	(47.0, 1254802.0)	(48.0, 1428108.0)	(49.0, 1503449.0)	(50.0, 1952894.5)	(51.0, 2447391.0)	(52.0, 12766622.5)	(53.0, 23012918.0)	(54.0, 22847671.5)	(55.0, 14194432.0)	(56.0, 5077629.5)	(57.0, 4583486.5)	(58.0, 2546460.5)	(59.0, 477612.0)	(60.0, 390938.5)	(61.0, 252366.5)	(62.0, 142389.0)	(63.0, 118679.0)	(64.0, 90300.0)	(65.0, 72749.5)	(66.0, 58909.0)	(67.0, 44400.5)	(68.0, 35713.0)	(69.0, 27127.5)	(70.0, 18981.0)	(71.0, 15012.0)	(72.0, 13720.5)	(73.0, 12179.5)	(74.0, 10836.0)	(75.0, 10593.0)	(76.0, 9798.5)	(77.0, 8980.0)	(78.0, 9169.5)	(79.0, 12089.5)	(80.0, 15341.5)	(81.0, 15664.0)	(82.0, 14644.5)	(83.0, 10177.0)	(84.0, 4932.5)	(85.0, 3002.0)	(86.0, 2268.0)	(87.0, 1579.0)	(88.0, 1178.0)	(89.0, 794.0)	(90.0, 566.0)	(91.0, 563.0)	(92.0, 533.5)	(93.0, 525.5)	(94.0, 520.0)	(95.0, 514.5)	(96.0, 505.0)	(97.0, 440.5)	(98.0, 218.5)	(99.0, 61.0)	(100.0, 61.0)
SRR25680453	(0.0, 22.0)	(1.0, 23.0)	(2.0, 25.5)	(3.0, 22.0)	(4.0, 17.0)	(5.0, 38.5)	(6.0, 74.5)	(7.0, 98.5)	(8.0, 133.0)	(9.0, 169.0)	(10.0, 229.5)	(11.0, 300.5)	(12.0, 342.0)	(13.0, 474.0)	(14.0, 691.5)	(15.0, 863.0)	(16.0, 1061.0)	(17.0, 1372.5)	(18.0, 1913.0)	(19.0, 2611.5)	(20.0, 4226.5)	(21.0, 6280.5)	(22.0, 8003.0)	(23.0, 11827.5)	(24.0, 16916.5)	(25.0, 21510.5)	(26.0, 27248.5)	(27.0, 33751.5)	(28.0, 39785.0)	(29.0, 46761.5)	(30.0, 54346.5)	(31.0, 64404.0)	(32.0, 76620.0)	(33.0, 89969.5)	(34.0, 107854.5)	(35.0, 130991.0)	(36.0, 153770.0)	(37.0, 176705.0)	(38.0, 190803.0)	(39.0, 204133.5)	(40.0, 226376.0)	(41.0, 249072.0)	(42.0, 279886.0)	(43.0, 303467.0)	(44.0, 337219.5)	(45.0, 451910.0)	(46.0, 541401.5)	(47.0, 744269.0)	(48.0, 978309.5)	(49.0, 1020748.0)	(50.0, 1153725.0)	(51.0, 1340250.0)	(52.0, 1471074.0)	(53.0, 1452063.0)	(54.0, 1354905.0)	(55.0, 1358552.5)	(56.0, 1364224.0)	(57.0, 1347105.5)	(58.0, 1349504.0)	(59.0, 1262545.5)	(60.0, 1155864.0)	(61.0, 1021734.5)	(62.0, 859594.5)	(63.0, 765696.5)	(64.0, 591647.0)	(65.0, 442300.0)	(66.0, 291817.5)	(67.0, 157203.5)	(68.0, 118788.5)	(69.0, 84350.0)	(70.0, 62617.0)	(71.0, 51663.5)	(72.0, 46441.0)	(73.0, 41913.5)	(74.0, 37379.5)	(75.0, 33921.0)	(76.0, 30832.0)	(77.0, 28324.0)	(78.0, 26718.0)	(79.0, 24920.0)	(80.0, 22625.0)	(81.0, 20739.0)	(82.0, 19238.0)	(83.0, 17793.0)	(84.0, 16420.5)	(85.0, 15940.5)	(86.0, 15625.5)	(87.0, 14432.0)	(88.0, 13278.5)	(89.0, 11108.0)	(90.0, 8005.0)	(91.0, 5877.0)	(92.0, 4855.0)	(93.0, 3839.5)	(94.0, 2929.0)	(95.0, 2543.5)	(96.0, 2425.0)	(97.0, 2111.0)	(98.0, 1056.5)	(99.0, 296.5)	(100.0, 286.0)
