Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR25680444	(14.0, 1.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 3.0)	(18.0, 2.0)	(19.0, 9.0)	(20.0, 13.0)	(21.0, 64.0)	(22.0, 130.0)	(23.0, 328.0)	(24.0, 906.0)	(25.0, 2429.0)	(26.0, 4337.0)	(27.0, 9935.0)	(28.0, 13046.0)	(29.0, 24508.0)	(30.0, 26847.0)	(31.0, 43285.0)	(32.0, 43914.0)	(33.0, 75320.0)	(34.0, 82720.0)	(35.0, 286232.0)	(36.0, 1776960.0)	(37.0, 7863229.0)			
SRR25680445	(16.0, 3.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 10.0)	(20.0, 17.0)	(21.0, 31.0)	(22.0, 129.0)	(23.0, 372.0)	(24.0, 1015.0)	(25.0, 2821.0)	(26.0, 4958.0)	(27.0, 11684.0)	(28.0, 15275.0)	(29.0, 29314.0)	(30.0, 31324.0)	(31.0, 50838.0)	(32.0, 49985.0)	(33.0, 83264.0)	(34.0, 85893.0)	(35.0, 277960.0)	(36.0, 1644398.0)	(37.0, 8061784.0)					
SRR25680446	(15.0, 3.0)	(16.0, 14.0)	(17.0, 15.0)	(18.0, 29.0)	(19.0, 36.0)	(20.0, 86.0)	(21.0, 126.0)	(22.0, 193.0)	(23.0, 461.0)	(24.0, 1055.0)	(25.0, 2797.0)	(26.0, 5089.0)	(27.0, 11241.0)	(28.0, 17134.0)	(29.0, 27575.0)	(30.0, 36827.0)	(31.0, 49939.0)	(32.0, 62440.0)	(33.0, 86962.0)	(34.0, 117690.0)	(35.0, 370715.0)	(36.0, 2113114.0)	(37.0, 7178616.0)				
SRR25680447	(17.0, 6.0)	(18.0, 9.0)	(19.0, 9.0)	(20.0, 30.0)	(21.0, 66.0)	(22.0, 200.0)	(23.0, 615.0)	(24.0, 1628.0)	(25.0, 4699.0)	(26.0, 8873.0)	(27.0, 21375.0)	(28.0, 32018.0)	(29.0, 53097.0)	(30.0, 74246.0)	(31.0, 97975.0)	(32.0, 121398.0)	(33.0, 175780.0)	(34.0, 211312.0)	(35.0, 656022.0)	(36.0, 3721976.0)	(37.0, 11883846.0)						
SRR25680448	(14.0, 3.0)	(15.0, 4.0)	(16.0, 16.0)	(17.0, 31.0)	(18.0, 38.0)	(19.0, 57.0)	(20.0, 69.0)	(21.0, 99.0)	(22.0, 235.0)	(23.0, 531.0)	(24.0, 1245.0)	(25.0, 2986.0)	(26.0, 5138.0)	(27.0, 10720.0)	(28.0, 14038.0)	(29.0, 23472.0)	(30.0, 27748.0)	(31.0, 40535.0)	(32.0, 43937.0)	(33.0, 67713.0)	(34.0, 80223.0)	(35.0, 255277.0)	(36.0, 1369471.0)	(37.0, 7703857.0)			
SRR25680449	(13.0, 2.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 7.0)	(17.0, 30.0)	(18.0, 42.0)	(19.0, 53.0)	(20.0, 107.0)	(21.0, 177.0)	(22.0, 306.0)	(23.0, 641.0)	(24.0, 1368.0)	(25.0, 3218.0)	(26.0, 5020.0)	(27.0, 10707.0)	(28.0, 13592.0)	(29.0, 23889.0)	(30.0, 26180.0)	(31.0, 39420.0)	(32.0, 41554.0)	(33.0, 66286.0)	(34.0, 72316.0)	(35.0, 217822.0)	(36.0, 1154008.0)	(37.0, 8095016.0)		
SRR25680450	(16.0, 3.0)	(17.0, 4.0)	(18.0, 12.0)	(19.0, 13.0)	(20.0, 28.0)	(21.0, 55.0)	(22.0, 147.0)	(23.0, 387.0)	(24.0, 859.0)	(25.0, 2699.0)	(26.0, 4906.0)	(27.0, 10505.0)	(28.0, 16475.0)	(29.0, 25580.0)	(30.0, 36491.0)	(31.0, 45836.0)	(32.0, 61757.0)	(33.0, 82937.0)	(34.0, 120516.0)	(35.0, 369595.0)	(36.0, 2325680.0)	(37.0, 7404351.0)					
SRR25680451	(14.0, 1.0)	(15.0, 4.0)	(16.0, 5.0)	(17.0, 8.0)	(18.0, 14.0)	(19.0, 22.0)	(20.0, 36.0)	(21.0, 71.0)	(22.0, 170.0)	(23.0, 436.0)	(24.0, 1044.0)	(25.0, 2796.0)	(26.0, 4662.0)	(27.0, 10273.0)	(28.0, 13619.0)	(29.0, 23469.0)	(30.0, 26552.0)	(31.0, 39617.0)	(32.0, 42047.0)	(33.0, 68051.0)	(34.0, 77054.0)	(35.0, 241641.0)	(36.0, 1380960.0)	(37.0, 7932761.0)			
SRR25680452	(15.0, 2.0)	(16.0, 2.0)	(17.0, 0.0)	(18.0, 12.0)	(19.0, 34.0)	(20.0, 74.0)	(21.0, 219.0)	(22.0, 728.0)	(23.0, 2004.0)	(24.0, 4652.0)	(25.0, 11705.0)	(26.0, 20157.0)	(27.0, 44778.0)	(28.0, 58395.0)	(29.0, 103974.0)	(30.0, 117234.0)	(31.0, 182961.0)	(32.0, 189181.0)	(33.0, 311184.0)	(34.0, 337636.0)	(35.0, 957820.0)	(36.0, 4351563.0)	(37.0, 26668984.0)				
SRR25680453	(11.0, 1.0)	(12.0, 3.0)	(13.0, 2.0)	(14.0, 12.0)	(15.0, 52.0)	(16.0, 221.0)	(17.0, 519.0)	(18.0, 799.0)	(19.0, 1366.0)	(20.0, 1913.0)	(21.0, 2677.0)	(22.0, 3246.0)	(23.0, 3729.0)	(24.0, 4358.0)	(25.0, 6226.0)	(26.0, 8660.0)	(27.0, 14163.0)	(28.0, 19759.0)	(29.0, 29369.0)	(30.0, 38264.0)	(31.0, 49464.0)	(32.0, 59922.0)	(33.0, 79523.0)	(34.0, 110881.0)	(35.0, 330012.0)	(36.0, 1890143.0)	(37.0, 5277312.0)
