Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR25680444	(1.0, 0.9080190708177683)	(2.0, 0.6209937776988703)	(3.0, 0.49450016431753957)	(4.0, 0.39573227386693166)	(5.0, 0.3126703108714111)	(6.0, 0.2470573666997454)	(7.0, 0.1982485890706075)	(8.0, 0.15705439720524503)	(9.0, 0.13291650533625057)	('>10', 1.474354432606691)	('>50', 0.566963902467369)	('>100', 1.694777649755195)	('>500', 0.8640581916461394)	('>1k', 4.012034845411724)	('>5k', 2.84213681652867)	('>10k+', 85.07848170569984)
SRR25680445	(1.0, 0.6618916301286575)	(2.0, 0.4380162328563127)	(3.0, 0.3304022148272826)	(4.0, 0.25261063007287093)	(5.0, 0.18594512690328255)	(6.0, 0.1407246317799798)	(7.0, 0.10748099464245339)	(8.0, 0.08542541030476705)	(9.0, 0.07546523303246297)	('>10', 1.0102070417203293)	('>50', 0.41398922610328237)	('>100', 1.146429471323435)	('>500', 0.74267199165113)	('>1k', 3.1757484120888684)	('>5k', 2.079317172379944)	('>10k+', 89.15367458018495)
SRR25680446	(1.0, 0.623708606647251)	(2.0, 0.2790452153161468)	(3.0, 0.1704579705377867)	(4.0, 0.12026637080484516)	(5.0, 0.08783661625595329)	(6.0, 0.07255076355686532)	(7.0, 0.0639506115191565)	(8.0, 0.057294669169326504)	(9.0, 0.052493661572727814)	('>10', 1.2975516584782603)	('>50', 1.4817655264047773)	('>100', 10.367984213035713)	('>500', 2.8923194132724017)	('>1k', 6.742578714186805)	('>5k', 4.481274377877273)	('>10k+', 71.2089216113647)
SRR25680447	(1.0, 0.6732638581254659)	(2.0, 0.27879417528239747)	(3.0, 0.1587706731769137)	(4.0, 0.1122321625150646)	(5.0, 0.08754353719846436)	(6.0, 0.0735891977844211)	(7.0, 0.06535512242910117)	(8.0, 0.05440349295114354)	(9.0, 0.053371120182676535)	('>10', 1.0159531606293906)	('>50', 0.5868906595701195)	('>100', 1.9150826232556155)	('>500', 1.3631669189929247)	('>1k', 4.00380830401189)	('>5k', 2.5274757322097194)	('>10k+', 87.03029926168469)
SRR25680448	(1.0, 1.2088165913533773)	(2.0, 0.6833590409788615)	(3.0, 0.5630375398803917)	(4.0, 0.5058298089034227)	(5.0, 0.50699323118633)	(6.0, 0.502989072310806)	(7.0, 0.48542496315586864)	(8.0, 0.4926482719031411)	(9.0, 0.47235300828984045)	('>10', 5.889943263448073)	('>50', 1.3802616965345131)	('>100', 3.0818483494816293)	('>500', 1.7057899861441443)	('>1k', 5.136745024139131)	('>5k', 2.8394665911724117)	('>10k+', 74.54449356111806)
SRR25680449	(1.0, 0.8709855817568236)	(2.0, 0.5161016484298517)	(3.0, 0.4227412165323634)	(4.0, 0.3656482577152135)	(5.0, 0.3292227794113186)	(6.0, 0.29382943645997445)	(7.0, 0.25820793455286417)	(8.0, 0.22513774022613187)	(9.0, 0.1915606712306821)	('>10', 1.884355564273738)	('>50', 0.6445054708883218)	('>100', 1.80395690636791)	('>500', 1.093261531763828)	('>1k', 3.7035374046549006)	('>5k', 2.252877057491239)	('>10k+', 85.14407079824484)
SRR25680450	(1.0, 0.48829221179832616)	(2.0, 0.3112241557942096)	(3.0, 0.2698586792905176)	(4.0, 0.24749160377692225)	(5.0, 0.22515331562541074)	(6.0, 0.21313199052925672)	(7.0, 0.18654288560082996)	(8.0, 0.16998272737046066)	(9.0, 0.1507710010487839)	('>10', 2.0352323241819925)	('>50', 1.0378637237251136)	('>100', 3.1948766549698817)	('>500', 1.9806420027865261)	('>1k', 6.945770780928968)	('>5k', 3.637465876164948)	('>10k+', 78.90570006640785)
SRR25680451	(1.0, 0.9883089378721559)	(2.0, 0.6100966481421013)	(3.0, 0.4825296407403287)	(4.0, 0.39406850626478296)	(5.0, 0.3304827371338126)	(6.0, 0.27059376358127163)	(7.0, 0.2228014508971761)	(8.0, 0.18413463259255178)	(9.0, 0.1443086447788215)	('>10', 1.2603310593608092)	('>50', 0.4948400741794585)	('>100', 1.5526099238865387)	('>500', 0.8842611020810788)	('>1k', 3.7625966283965377)	('>5k', 1.7094521511257958)	('>10k+', 86.7085840989668)
SRR25680452	(1.0, 0.5686046924415391)	(2.0, 0.2856714353189961)	(3.0, 0.16562754074663574)	(4.0, 0.10643320954613537)	(5.0, 0.07490243305471524)	(6.0, 0.05907776167576258)	(7.0, 0.04616127212339411)	(8.0, 0.039782918739994295)	(9.0, 0.036974744398335424)	('>10', 0.6462801215686692)	('>50', 0.35572926955344414)	('>100', 1.179323221285827)	('>500', 0.698645550254924)	('>1k', 2.5751286273750327)	('>5k', 1.7591762473496304)	('>10k+', 91.40248095456697)
SRR25680453	(1.0, 2.5175377357893023)	(2.0, 1.1330242771073906)	(3.0, 0.8011288632091782)	(4.0, 0.6899226159347691)	(5.0, 0.6496388141434124)	(6.0, 0.6585774825406088)	(7.0, 0.6543638688971575)	(8.0, 0.6418194307946055)	(9.0, 0.6335910592171645)	('>10', 13.151889629508926)	('>50', 3.4763361860030733)	('>100', 7.913138736763436)	('>500', 3.795954351255322)	('>1k', 10.269568675968515)	('>5k', 3.7907489068753084)	('>10k+', 49.22275936599183)
