Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
SRR25680444	(18, 23770.0)	(19, 23315.0)	(20, 27528.0)	(21, 50117.0)	(22, 97590.0)	(23, 61066.0)	(24, 42336.0)	(25, 42363.0)	(26, 67242.0)	(27, 53694.0)	(28, 45790.0)	(29, 61372.0)	(30, 107831.0)	(31, 629492.0)	(32, 8750225.0)	(33, 77955.0)	(34, 19917.0)	(35, 16188.0)	(36, 22837.0)	(37, 12670.0)	(38, 8553.0)	(39, 12369.0)
SRR25680445	(18, 26297.0)	(19, 23879.0)	(20, 30686.0)	(21, 56216.0)	(22, 85258.0)	(23, 57004.0)	(24, 29914.0)	(25, 31650.0)	(26, 29685.0)	(27, 18240.0)	(28, 18319.0)	(29, 24023.0)	(30, 55814.0)	(31, 416774.0)	(32, 9287974.0)	(33, 109696.0)	(34, 12879.0)	(35, 11758.0)	(36, 12819.0)	(37, 7264.0)	(38, 2072.0)	(39, 2857.0)
SRR25680446	(18, 19039.0)	(19, 27908.0)	(20, 57238.0)	(21, 82855.0)	(22, 155438.0)	(23, 107064.0)	(24, 90631.0)	(25, 121741.0)	(26, 134581.0)	(27, 125034.0)	(28, 207444.0)	(29, 377338.0)	(30, 1425610.0)	(31, 3590310.0)	(32, 2963506.0)	(33, 240324.0)	(34, 103283.0)	(35, 59867.0)	(36, 90391.0)	(37, 62810.0)	(38, 17592.0)	(39, 22153.0)
SRR25680447	(18, 31416.0)	(19, 54017.0)	(20, 234656.0)	(21, 60733.0)	(22, 330553.0)	(23, 134571.0)	(24, 82176.0)	(25, 42733.0)	(26, 32586.0)	(27, 24616.0)	(28, 40831.0)	(29, 121525.0)	(30, 751773.0)	(31, 7548486.0)	(32, 6635492.0)	(33, 625788.0)	(34, 132383.0)	(35, 71484.0)	(36, 63596.0)	(37, 32741.0)	(38, 6570.0)	(39, 6454.0)
SRR25680448	(18, 80154.0)	(19, 74902.0)	(20, 116218.0)	(21, 159749.0)	(22, 240793.0)	(23, 164268.0)	(24, 109648.0)	(25, 99277.0)	(26, 129679.0)	(27, 97855.0)	(28, 112286.0)	(29, 165440.0)	(30, 289839.0)	(31, 1495266.0)	(32, 5879412.0)	(33, 163077.0)	(34, 53439.0)	(35, 42857.0)	(36, 81826.0)	(37, 36531.0)	(38, 21186.0)	(39, 33741.0)
SRR25680449	(18, 19466.0)	(19, 16013.0)	(20, 19867.0)	(21, 26582.0)	(22, 44371.0)	(23, 48839.0)	(24, 31826.0)	(25, 37023.0)	(26, 69210.0)	(27, 44499.0)	(28, 75022.0)	(29, 150751.0)	(30, 240057.0)	(31, 1154453.0)	(32, 7533300.0)	(33, 98362.0)	(34, 31286.0)	(35, 29245.0)	(36, 41967.0)	(37, 24342.0)	(38, 14042.0)	(39, 21242.0)
SRR25680450	(18, 3549.0)	(19, 6086.0)	(20, 28963.0)	(21, 30654.0)	(22, 87289.0)	(23, 35864.0)	(24, 26288.0)	(25, 31490.0)	(26, 29573.0)	(27, 28016.0)	(28, 63987.0)	(29, 295516.0)	(30, 2023516.0)	(31, 5739303.0)	(32, 1663246.0)	(33, 214908.0)	(34, 51982.0)	(35, 52279.0)	(36, 45425.0)	(37, 38933.0)	(38, 6380.0)	(39, 5589.0)
SRR25680451	(18, 6320.0)	(19, 5802.0)	(20, 7944.0)	(21, 17216.0)	(22, 39116.0)	(23, 28514.0)	(24, 18895.0)	(25, 19269.0)	(26, 38089.0)	(27, 26909.0)	(28, 52997.0)	(29, 150224.0)	(30, 279655.0)	(31, 1820097.0)	(32, 7079375.0)	(33, 75930.0)	(34, 36112.0)	(35, 33413.0)	(36, 50161.0)	(37, 31854.0)	(38, 22435.0)	(39, 24986.0)
SRR25680452	(18, 38015.0)	(19, 28032.0)	(20, 69380.0)	(21, 320886.0)	(22, 1070236.0)	(23, 446010.0)	(24, 226219.0)	(25, 76111.0)	(26, 89394.0)	(27, 62895.0)	(28, 71282.0)	(29, 86261.0)	(30, 161319.0)	(31, 1410411.0)	(32, 26546444.0)	(33, 1475813.0)	(34, 144113.0)	(35, 44243.0)	(36, 517552.0)	(37, 299800.0)	(38, 77298.0)	(39, 101585.0)
SRR25680453	(18, 49878.0)	(19, 58926.0)	(20, 98797.0)	(21, 97709.0)	(22, 143408.0)	(23, 210478.0)	(24, 182075.0)	(25, 204038.0)	(26, 196510.0)	(27, 238855.0)	(28, 343897.0)	(29, 399673.0)	(30, 702007.0)	(31, 1620033.0)	(32, 652876.0)	(33, 381456.0)	(34, 491275.0)	(35, 328791.0)	(36, 388174.0)	(37, 600812.0)	(38, 260752.0)	(39, 282176.0)
