Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR25680444	98.25347758877336	53.0	31.50229066667187	32	36.36363636363637	10.25422
SRR25680445	98.78414960425604	53.0	31.59965783273974	32	45.45454545454545	10.351078
SRR25680446	98.96283204251999	52.0	30.55228895959466	31	36.36363636363637	10.082156999999999
SRR25680447	98.9836552435311	52.0	30.922365776393804	31	45.45454545454545	17.065179999999998
SRR25680448	97.39268492160147	52.0	30.577636478391216	32	36.36363636363637	9.647442999999999
SRR25680449	98.30985634378878	53.0	31.522911265262724	32	36.36363636363637	9.771765
SRR25680450	98.91664945290829	52.0	30.7860857282386	31	36.36363636363637	10.508835999999999
SRR25680451	98.17621124561026	53.0	31.607740170028055	32	36.36363636363637	9.865312999999999
SRR25680452	99.1216316321775	52.0	31.436361164404037	32	36.36363636363637	33.363299
SRR25680453	95.19009720941179	54.0	31.05919184589761	31	27.27272727272727	7.932595999999999
SRR25680454	96.16674793166302	51.0	30.08591691227005	31	36.36363636363637	10.198353
SRR25680455	98.99471552824137	52.0	30.906677632106433	31	36.36363636363637	9.790761
SRR25680456	97.7216335647555	52.0	30.64052856423015	32	45.45454545454545	9.887086
SRR25680457	95.88147921318118	52.0	29.49085377796732	32	36.36363636363637	9.470741
SRR25680458	95.21008540584633	49.0	25.663669653036447	23	36.36363636363637	9.520366
SRR25680459	98.333630222271	53.0	31.56753018872175	32	36.36363636363637	9.898647
SRR25680460	99.14011868964829	51.0	30.38456784540387	31	36.36363636363637	23.096722999999997
