"miRNA","Exo","Ti","CF","Total","Class"
"hsa-let-7a-1",1,0,0,1,"Exo-enriched"
"hsa-let-7a-2",1,0,0,1,"Exo-enriched"
"hsa-let-7a-3",1,0,0,1,"Exo-enriched"
"hsa-let-7a-5p",0,0.288519595143618,0.711480404856382,1,"CF-enriched"
"hsa-let-7b",1,0,0,1,"Exo-enriched"
"hsa-let-7b-5p",0,0.0296418972439722,0.970358102756028,1,"CF-enriched"
"hsa-let-7c",1,0,0,1,"Exo-enriched"
"hsa-let-7c-5p",0,0.0736331407041213,0.926366859295879,1,"CF-enriched"
"hsa-let-7d",1,0,0,1,"Exo-enriched"
"hsa-let-7d-5p",0,0.27913662209937,0.72086337790063,1,"CF-enriched"
"hsa-let-7e",1,0,0,1,"Exo-enriched"
"hsa-let-7e-5p",0,0.475045565412585,0.524954434587415,1,"Mixed"
"hsa-let-7f-1",1,0,0,1,"Exo-enriched"
"hsa-let-7f-2",1,0,0,1,"Exo-enriched"
"hsa-let-7f-5p",0,0.396623617846139,0.603376382153861,1,"Mixed"
"hsa-let-7g",1,0,0,1,"Exo-enriched"
"hsa-let-7g-5p",0,0.165913297176646,0.834086702823354,1,"CF-enriched"
"hsa-let-7i",1,0,0,1,"Exo-enriched"
"hsa-let-7i-5p",0,0.123948068264605,0.876051931735395,1,"CF-enriched"
"hsa-miR-100-5p",0,0.097827539104551,0.902172460895449,1,"CF-enriched"
"hsa-miR-101-2-5p",0,0,1,1,"CF-enriched"
"hsa-miR-101-5p",0,0,1,1,"CF-enriched"
"hsa-miR-10392-5p",0,0.909000230353365,0.0909997696466348,1,"Tissue-enriched"
"hsa-miR-10393-3p",0,0.96565821951721,0.0343417804827898,1,"Tissue-enriched"
"hsa-miR-10394-5p",0,0.773761649334722,0.226238350665278,1,"Tissue-enriched"
"hsa-miR-10395-5p",0,1,0,1,"Tissue-enriched"
"hsa-miR-10396a-3p",0,0.866340248534342,0.133659751465659,1,"Tissue-enriched"
"hsa-miR-10396a-5p",0,0.928557537425492,0.0714424625745081,1,"Tissue-enriched"
"hsa-miR-10396b-3p",0,0.981662842776755,0.0183371572232454,1,"Tissue-enriched"
"hsa-miR-10396b-5p",0,0.894922186033415,0.105077813966585,1,"Tissue-enriched"
"hsa-miR-10397-5p",0,1,0,1,"Tissue-enriched"
"hsa-miR-10398-5p",0,0,1,1,"CF-enriched"
"hsa-miR-10399-3p",0,0.668108249741897,0.331891750258103,1,"Mixed"
"hsa-miR-10399-5p",0,0.37141379959787,0.62858620040213,1,"Mixed"
"hsa-miR-10400-5p",0,0.86872894043035,0.13127105956965,1,"Tissue-enriched"
"hsa-miR-10401-3p",0,1,0,1,"Tissue-enriched"
"hsa-miR-105-5p",0,0,1,1,"CF-enriched"
"hsa-miR-10523-5p",0,0.935866078846884,0.0641339211531164,1,"Tissue-enriched"
"hsa-miR-10524-5p",0,0.994228208277681,0.00577179172231932,1,"Tissue-enriched"
"hsa-miR-10527-5p",0,0.851720297770416,0.148279702229584,1,"Tissue-enriched"
"hsa-miR-106a-5p",0,0.979166382677552,0.0208336173224478,1,"Tissue-enriched"
"hsa-miR-106b-5p",0,0.169781962676359,0.830218037323641,1,"CF-enriched"
"hsa-miR-10a-5p",0,0.329789481611094,0.670210518388906,1,"Mixed"
"hsa-miR-10b-5p",0,0.260734043251933,0.739265956748067,1,"CF-enriched"
"hsa-miR-11399",0,1,0,1,"Tissue-enriched"
"hsa-miR-11400",0,0,1,1,"CF-enriched"
"hsa-miR-11401",0,0,1,1,"CF-enriched"
"hsa-miR-1200",0,1,0,1,"Tissue-enriched"
"hsa-miR-12119",0,1,0,1,"Tissue-enriched"
"hsa-miR-12136",0,0.821290423404743,0.178709576595257,1,"Tissue-enriched"
"hsa-miR-122-5p",0,0.00917120706170524,0.990828792938295,1,"CF-enriched"
"hsa-miR-1224-5p",0,0,1,1,"CF-enriched"
"hsa-miR-1226-5p",0,1,0,1,"Tissue-enriched"
"hsa-miR-1228-5p",0,0.00632239729301263,0.993677602706987,1,"CF-enriched"
"hsa-miR-122b-5p",0,0.441042569607364,0.558957430392636,1,"Mixed"
"hsa-miR-1245b-5p",0,0,1,1,"CF-enriched"
"hsa-miR-1246",0,0.145802562998535,0.854197437001465,1,"CF-enriched"
"hsa-miR-1248",0,0.960860821010618,0.0391391789893824,1,"Tissue-enriched"
"hsa-miR-1250-5p",0,0.27788782265912,0.72211217734088,1,"CF-enriched"
"hsa-miR-1255a",0,0.958437974754723,0.0415620252452775,1,"Tissue-enriched"
"hsa-miR-1255b-5p",0,0.0458143927625193,0.954185607237481,1,"CF-enriched"
"hsa-miR-1257",0,0,1,1,"CF-enriched"
"hsa-miR-125a-5p",0,0.347634601385472,0.652365398614528,1,"Mixed"
"hsa-miR-125b-5p",0,0.398695999966056,0.601304000033944,1,"Mixed"
"hsa-miR-126-5p",0,0.019186407139156,0.980813592860844,1,"CF-enriched"
"hsa-miR-1260a",0,0.110872496316671,0.889127503683329,1,"CF-enriched"
"hsa-miR-1260b",0,0.078501975651435,0.921498024348565,1,"CF-enriched"
"hsa-miR-1262",0,0.188095317129368,0.811904682870632,1,"CF-enriched"
