"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-451a",9084.28639779551,-11.4496101327554,0.760250010925882,-15.060322220596,2.95344042603597e-51,1.35267571512447e-48
"hsa-miR-122-5p",14497.0462966538,-6.7578621229334,0.857395496514445,-7.88184933371591,3.22570837673843e-15,7.38687218273102e-13
"hsa-let-7b-5p",6964.27500741629,-5.03255590767053,0.665711012225903,-7.55967051054696,4.04091655037106e-14,6.16913260023315e-12
"hsa-miR-378i",33.0418395734088,-5.66472902732847,0.86658199513264,-6.53686443884797,6.28219408545537e-11,5.75448978227712e-09
"hsa-miR-379-5p",17.0564196764265,-6.57066516653607,1.0025573718816,-6.55390439571973,5.60518598613769e-11,5.75448978227712e-09
"hsa-miR-5701",406.389400404605,8.29133280753461,1.2968426941037,6.39347612877991,1.62156322370975e-10,1.23779326076511e-08
"hsa-let-7c-5p",219.905848759033,-3.63861425069078,0.587193581682218,-6.19661788582007,5.76893256773876e-10,3.77453016574907e-08
"hsa-miR-99b-5p",283.552513752923,-3.13655757357162,0.535606590491089,-5.85608472572332,4.73906517550431e-09,2.71311481297622e-07
"hsa-miR-193a-5p",60.7234849440615,-4.96937047236174,0.853933009125419,-5.81939147363711,5.90622574619609e-09,2.89511709731127e-07
"hsa-miR-7-5p",14200.3773041263,4.17609036119559,0.719020099288881,5.80803007499483,6.32121636967525e-09,2.89511709731127e-07
"hsa-miR-378c",27.2230534041789,-4.85965945129165,0.842384999241664,-5.76892923742284,7.97767915526157e-09,3.32161550282709e-07
"hsa-miR-744-5p",22.1320319456384,-3.22842391154438,0.588035395093158,-5.490186370555,4.01509850153969e-08,1.53242926142098e-06
"hsa-miR-22-5p",23.0537996366436,-7.76248872954834,1.42600852969005,-5.44350792294038,5.2241408933547e-08,1.84050502242804e-06
"hsa-miR-503-5p",19.4911785250274,-6.0443225838576,1.13350921248362,-5.33239828780391,9.69240605662861e-08,3.17080140995422e-06
"hsa-miR-486-5p",7134.54653995561,-2.88686151577978,0.546965649405081,-5.27795761748428,1.30631667853068e-07,3.98862025844701e-06
"hsa-miR-142-5p",232.547793691481,-4.04456375949829,0.771816957121764,-5.24031471734069,1.60302969194933e-07,4.58867249320497e-06
"hsa-miR-100-5p",5010.13258352675,-3.20476277594991,0.616638649615201,-5.19714873200012,2.02368447837271e-07,5.45204406526295e-06
"hsa-miR-423-5p",5892.0449827509,-2.98394575186005,0.592359801212788,-5.03738732059598,4.71929206876274e-07,1.20079764860741e-05
"hsa-miR-584-5p",51.7671390895687,-5.91616050058978,1.20719406851462,-4.90075345372533,9.54698041506876e-07,2.301324752685e-05
